"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","365","43","357","43"
"Mean","8.278","43.691","8.463","43.659"
"Median","0.495","15.644","0.419","13.549"
"Mode","0.300, 0.315, 0.255","All values","0.300","All values"
"SD","54.808","112.201","55.435","111.402"
"Min","0.060","0.135","0.088","0.090"
"Max","841.052","568.016","841.293","564.820"
"Blank",,,,
"1","3.330","3.615","3.436","4.454"
"2","0.435","4.935","0.209","5.041"
"3","4.094","5.820","4.184","5.684"
"4","0.285","6.299","0.195","6.840"
"5","0.194","15.943","0.299","13.469"
"6","0.375","7.242","0.211","9.371"
"7","4.155","41.520","4.244","39.000"
"8","0.240","1.034","0.615","0.090"
"9","0.285","12.060","0.404","12.030"
"10","0.344","22.439","0.316","22.994"
"11","0.449","1.424","0.314","8.205"
"12","0.270","17.864","4.365","10.949"
"13","4.200","3.180","0.419","7.573"
"14","0.449","7.979","0.315","3.646"
"15","0.495","29.518","0.298","30.192"
"16","0.269","23.008","0.211","27.629"
"17","0.300","31.575","0.195","27.674"
"18","0.224","27.013","0.314","25.512"
"19","0.240","18.730","0.195","18.942"
"20","0.268","3.360","15.404","8.144"
"21","15.285","7.274","0.299","1.949"
"22","0.359","15.644","2.926","15.899"
"23","2.896","15.345","0.403","21.495"
"24","0.299","21.105","0.316","14.819"
"25","0.390","1.634","0.195","5.625"
"26","0.270","46.752","0.314","43.077"
"27","0.284","1.557","0.405","2.576"
"28","0.435","18.014","1.137","17.909"
"29","1.241","8.615","1.079","13.549"
"30","0.960","17.337","0.615","11.114"
"31","0.615","0.135","20.083","2.205"
"32","19.948","47.370","0.390","45.614"
"33","0.555","40.214","23.924","41.670"
"34","23.985","28.049","26.745","27.238"
"35","25.769","11.189","0.855","15.689"
"36","1.155","189.907","0.359","186.978"
"37","0.929","497.753","0.194","495.223"
"38","0.300","0.210","0.210","1.799"
"39","0.149","32.729","0.314","37.814"
"40","0.255","23.667","0.299","17.112"
"41","0.314","0.315","0.195","0.165"
"42","0.254","1.320","0.524","5.549"
"43","0.420","568.016","2.594","564.820"
"44","1.888",,"0.299",
"45","1.019",,"1.411",
"46","1.411",,"9.509",
"47","9.509",,"0.403",
"48","0.360",,"0.314",
"49","0.449",,"0.389",
"50","0.388",,"1.920",
"51","1.921",,"0.614",
"52","0.628",,"1.531",
"53","1.591",,"0.495",
"54","0.119",,"0.314",
"55","0.480",,"0.314",
"56","0.389",,"1.109",
"57","1.094",,"0.615",
"58","0.570",,"0.105",
"59","0.314",,"0.299",
"60","0.089",,"1.723",
"61","1.725",,"0.301",
"62","0.329",,"0.419",
"63","0.420",,"0.405",
"64","0.299",,"0.195",
"65","0.405",,"36.327",
"66","36.028",,"0.719",
"67","0.764",,"0.210",
"68","0.495",,"0.105",
"69","0.150",,"14.503",
"70","13.949",,"0.300",
"71","0.313",,"0.299",
"72","0.344",,"0.210",
"73","0.314",,"0.194",
"74","0.300",,"0.509",
"75","0.210",,"0.405",
"76","0.299",,"0.810",
"77","0.480",,"0.300",
"78","0.810",,"0.194",
"79","0.479",,"0.300",
"80","0.150",,"0.299",
"81","0.329",,"0.615",
"82","0.240",,"0.495",
"83","0.539",,"0.810",
"84","0.615",,"0.405",
