"Row_Name","Nose_Poke #1: On","Nose_Poke #1: Off"
"N","792","805"
"Mean","4.027","3.962"
"Median","0.284","0.269"
"Mode","0.240","0.240"
"SD","28.621","28.438"
"Min","0.028","0.028"
"Max","692.087","692.731"
"Blank",,
"1","7.888","7.949"
"2","0.345","0.284"
"3","9.494","9.614"
"4","0.449","0.330"
"5","0.044","0.089"
"6","0.210","0.149"
"7","0.030","0.030"
"8","10.857","10.857"
"9","0.495","0.510"
"10","0.375","0.359"
"11","10.318","10.378"
"12","0.120","0.060"
"13","0.210","0.209"
"14","9.388","9.389"
"15","0.314","0.314"
"16","0.150","0.330"
"17","0.224","0.044"
"18","9.915","9.945"
"19","0.314","0.299"
"20","0.299","0.284"
"21","0.225","0.225"
"22","8.459","8.474"
"23","0.375","0.375"
"24","0.194","0.179"
"25","0.060","0.075"
"26","0.420","0.405"
"27","9.360","9.376"
"28","0.225","0.209"
"29","0.074","0.104"
"30","0.315","0.285"
"31","0.164","0.179"
"32","0.225","0.210"
"33","8.714","8.714"
"34","0.105","0.105"
"35","0.030","0.045"
"36","0.224","0.224"
"37","9.615","9.615"
"38","0.239","0.254"
"39","0.060","0.060"
"40","0.269","0.239"
"41","8.100","8.100"
"42","0.269","0.269"
"43","0.269","0.269"
"44","0.045","0.045"
"45","0.224","0.224"
"46","0.045","0.045"
"47","8.279","8.279"
"48","0.194","0.194"
"49","0.030","0.045"
"50","0.224","0.209"
"51","0.240","0.240"
"52","8.384","8.384"
"53","0.343","0.344"
"54","0.270","0.270"
"55","0.044","0.059"
"56","0.300","0.285"
"57","8.549","8.548"
"58","0.210","0.210"
"59","0.044","0.044"
"60","8.550","8.610"
"61","0.119","0.090"
"62","0.495","0.465"
"63","7.364","7.408"
"64","0.403","0.389"
"65","0.075","0.060"
"66","9.748","9.733"
"67","0.224","0.225"
"68","0.074","0.074"
"69","0.225","0.224"
"70","6.719","6.735"
"71","0.314","0.449"
"72","0.479","0.360"
"73","0.060","0.074"
"74","0.134","0.090"
"75","7.860","7.859"
"76","0.044","0.180"
"77","0.180","0.045"
"78","0.254","0.284"
"79","0.165","0.149"
"80","7.229","7.230"
"81","0.344","0.329"
"82","0.509","0.314"
"83","6.780","0.195"
"84","0.465","6.794"
"85","6.403","0.450"
"86","0.331","6.449"
"87","0.254","0.284"
"88","0.164","0.270"
"89","0.164","0.149"
"90","8.205","0.180"
"91","0.240","8.205"
"92","1.289","0.240"
"93","0.329","1.274"
"94","9.344","0.045"
"95","0.464","0.299"
"96","12.173","9.344"
"97","0.270","0.449"
"98","1.875","12.187"
"99","0.270","0.255"
"100","6.914","1.904"
"101","0.479","0.240"
"102","0.555","7.155"
"103","0.420","0.240"
"104","6.765","0.555"
"105","0.314","0.419"
"106","0.299","6.765"
"107","0.210","0.344"
"108","8.338","0.270"
"109","0.269","0.209"
"110","0.194","8.413"
"111","6.780","0.240"
"112","0.209","0.180"
"113","0.329","6.810"
"114","0.300","0.149"
"115","6.420","0.330"
"116","0.300","0.314"
"117","0.074","6.419"
"118","0.149","0.285"
"119","0.045","0.194"
"120","0.163","0.045"
"121","7.261","0.104"
"122","0.209","0.090"
"123","6.735","7.259"
"124","0.375","0.225"
"125","0.254","6.914"
"126","0.059","0.194"
"127","0.165","0.240"
"128","0.240","0.074"
"129","0.165","0.165"
"130","6.988","0.254"
"131","0.239","0.134"
"132","0.060","6.988"
"133","0.060","0.240"
"134","7.530","0.089"
"135","0.719","0.030"
"136","7.004","7.649"
"137","0.225","0.615"
"138","0.254","7.004"
"139","0.434","0.240"
"140","6.900","0.224"
"141","0.240","0.449"
"142","0.045","6.886"
"143","6.584","0.240"
"144","0.300","0.074"
"145","0.286","6.568"
"146","0.028","0.331"
"147","0.331","0.240"
"148","0.043","0.028"
"149","0.389","0.331"
"150","9.721","0.043"
"151","0.194","0.405"
"152","0.030","9.704"
"153","0.239","0.195"
"154","0.270","0.059"
"155","7.439","0.211"
"156","0.028","0.283"
"157","0.901","7.425"
"158","5.879","0.060"
"159","0.644","0.870"
"160","0.284","6.014"
"161","6.691","0.526"
"162","0.254","0.268"
"163","0.284","6.765"
"164","0.254","0.195"
"165","0.254","0.285"
"166","8.084","0.240"
"167","0.209","0.254"
"168","0.135","8.082"
"169","0.029","0.211"
"170","0.180","0.134"
"171","0.375","0.044"
"172","7.439","0.211"
"173","0.210","0.360"
"174","0.060","7.410"
"175","6.838","0.209"
"176","0.315","0.225"
"177","0.509","6.673"
"178","0.149","0.329"
"179","6.795","0.511"
"180","0.210","0.163"
"181","0.060","6.764"
"182","0.238","0.211"
"183","0.045","0.074"
"184","9.839","0.224"
"185","0.374","0.045"
"186","0.165","9.840"
"187","0.165","0.404"
"188","6.778","0.149"
"189","0.209","0.164"
"190","0.134","6.779"
"191","0.254","0.269"
"192","0.150","0.090"
"193","7.065","0.225"
"194","0.254","0.164"
"195","0.179","7.050"
"196","0.029","0.269"
"197","0.360","0.165"
"198","8.865","0.029"
"199","1.380","0.361"
"200","0.270","8.879"
"201","0.178","1.363"
"202","0.045","0.360"
"203","0.194","0.088"
"204","7.514","0.060"
"205","0.240","0.180"
"206","0.060","7.545"
"207","0.225","0.211"
"208","0.164","0.058"
"209","6.285","0.240"
"210","0.464","0.165"
"211","0.030","6.269"
"212","0.164","0.464"
"213","0.045","0.030"
"214","0.180","0.180"
"215","0.180","0.120"
"216","7.544","0.104"
"217","1.725","0.194"
"218","0.194","7.515"
"219","0.030","1.740"
"220","0.180","0.179"
"221","0.028","0.045"
"222","0.254","0.165"
"223","0.360","0.045"
"224","6.314","0.239"
"225","0.269","0.375"
"226","0.180","6.300"
"227","0.045","0.269"
"228","0.390","0.180"
"229","0.224","0.256"
"230","6.449","0.180"
"231","0.194","0.223"
"232","0.074","6.480"
"233","0.300","0.164"
"234","0.029","0.090"
"235","7.320","0.284"
"236","0.329","0.030"
"237","0.194","7.365"
"238","0.045","0.284"
"239","0.194","0.194"
"240","0.149","0.045"
"241","7.215","0.194"
"242","0.029","0.165"
"243","0.360","7.199"
"244","6.314","0.060"
"245","0.375","0.329"
"246","0.195","6.389"
"247","0.045","0.314"
"248","0.163","0.181"
"249","0.060","0.163"
"250","0.540","0.060"
"251","0.030","0.329"
"252","0.284","0.254"
"253","8.040","0.030"
"254","0.240","0.300"
"255","0.194","8.024"
"256","0.030","0.270"
"257","0.239","0.163"
"258","0.030","0.060"
"259","6.881","0.210"
"260","3.855","0.044"
"261","0.554","6.866"
"262","0.135","3.915"
"263","0.029","0.584"
"264","0.209","0.045"
"265","0.225","0.164"
"266","6.600","0.120"
"267","0.075","0.179"
"268","0.360","6.345"
"269","0.164","0.254"
"270","0.149","0.195"
"271","0.149","0.360"
"272","8.083","0.044"
"273","0.255","0.164"
"274","0.193","0.134"
"275","0.225","8.099"
"276","0.164","0.193"
"277","7.274","0.061"
"278","0.315","0.224"
"279","0.195","0.179"
"280","6.644","0.179"
"281","0.074","7.335"
"282","0.240","0.254"
"283","7.004","0.210"
"284","0.285","6.615"
"285","0.554","0.164"
"286","0.164","0.195"
"287","0.134","6.990"
"288","0.030","0.269"
"289","7.679","0.539"
"290","0.345","0.164"
"291","0.194","0.134"
"292","0.030","0.030"
"293","0.179","7.694"
"294","6.870","0.330"
"295","0.195","0.194"
"296","0.060","0.045"
"297","0.254","0.210"
"298","0.240","6.824"
"299","6.840","0.195"
"300","0.163","0.076"
"301","0.179","0.269"
"302","0.345","0.208"
"303","7.109","6.568"
"304","0.209","0.375"
"305","0.480","0.060"
"306","0.029","0.179"
"307","0.405","0.390"
"308","0.164","7.063"
"309","0.029","0.225"
"310","0.195","0.464"
"311","0.240","0.030"
"312","7.845","0.404"
"313","0.209","0.164"
"314","0.779","0.045"
"315","8.129","0.224"
"316","0.195","0.195"
"317","0.195","7.784"
"318","0.029","0.075"
"319","0.210","0.225"
"320","0.179","0.750"
"321","6.703","8.219"
"322","0.240","0.120"
"323","0.180","0.180"
"324","0.240","0.044"
"325","6.613","0.210"
"326","0.285","0.164"
"327","0.329","6.704"
"328","0.195","0.254"
"329","5.909","0.179"
"330","0.284","0.240"
"331","0.360","6.614"
"332","0.210","0.389"
"333","0.164","0.225"
"334","0.150","0.209"
"335","7.379","5.879"
"336","0.209","0.315"
"337","0.195","0.360"
"338","0.449","0.179"
"339","9.750","0.254"
"340","0.330","0.075"
"341","0.105","7.365"
"342","0.254","0.209"
"343","0.254","0.210"
"344","0.240","0.435"
"345","8.263","9.764"
"346","0.224","0.314"
"347","0.180","0.134"
"348","0.194","0.269"
"349","6.900","0.240"
"350","0.375","0.210"
"351","0.104","8.278"
"352","0.315","0.209"
"353","6.239","0.270"
"354","0.929","0.134"
"355","0.029","6.870"
"356","0.150","0.404"
"357","0.149","0.120"
"358","0.029","0.284"
"359","0.254","6.224"
"360","7.575","0.929"
"361","0.224","0.029"
"362","0.060","0.165"
"363","0.360","0.134"
"364","0.059","0.044"
"365","0.195","0.240"
"366","6.870","7.590"
"367","0.419","0.225"
"368","0.210","0.375"
"369","0.194","0.044"
"370","0.045","0.105"
"371","6.464","0.149"
"372","0.315","7.080"
"373","0.195","0.209"
"374","0.344","0.150"
"375","0.210","0.059"
"376","8.054","0.195"
"377","0.195","0.029"
"378","0.179","6.465"
"379","0.225","0.375"
"380","0.315","0.149"
"381","0.164","0.360"
"382","6.914","0.194"
"383","0.405","8.055"
"384","0.269","0.194"
"385","0.164","0.180"
"386","0.029","0.269"
"387","0.360","0.269"
"388","0.165","0.149"
"389","0.134","6.960"
"390","7.153","0.375"
"391","0.314","0.269"
"392","0.120","0.149"
"393","0.254","0.045"
"394","0.045","0.359"
"395","6.194","0.165"
"396","0.269","0.134"
"397","0.254","7.168"
"398","0.210","0.299"
"399","0.029","0.134"
"400","0.600","0.240"
"401","7.110","0.045"
"402","0.269","6.194"
"403","0.029","0.254"
"404","0.149","0.285"
"405","0.045","0.179"
"406","0.210","0.044"
"407","0.284","0.585"
"408","0.240","7.139"
"409","0.149","0.240"
"410","7.095","0.045"
"411","0.269","0.149"
"412","0.480","0.044"
"413","0.029","0.134"
"414","7.455","0.060"
"415","0.359","0.299"
"416","0.450","0.240"
"417","0.240","0.149"
"418","0.389","7.080"
"419","6.794","0.284"
