"Row_Name","Tray #1: On","Tray #1: Off"
"N","12","12"
"Mean","266.068","266.065"
"Median","8.994","8.202"
"Mode","All values","All values"
"SD","678.870","678.380"
"Min","0.345","0.298"
"Max","2,484.436","2,483.029"
"Blank",,
"1","1.169","2.862"
"2","1.993","0.298"
"3","0.345","0.510"
"4","40.774","42.721"
"5","215.966","217.641"
"6","4.385","1.302"
"7","1.168","1.810"
"8","2,484.436","2,483.029"
"9","29.838","31.050"
"10","1.572","7.519"
"11","397.565","395.154"
"12","13.604","8.885"
