"Row_Name","Tray #1: On","Tray #1: Off"
"N","1","1"
"Mean","1,696.056","1,696.027"
"Median","1,696.056","1,696.027"
"Mode","All values","All values"
"SD","0.000","0.000"
"Min","1,696.056","1,696.027"
"Max","1,696.056","1,696.027"
"Blank",,
"1","1,696.056","1,696.027"
