"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","671","153","670","153"
"Mean","5.187","22.822","5.195","22.830"
"Median","0.394","13.099","0.388","12.846"
"Mode","0.029, 0.034, 0.712, 0.346, 0.038, 0.289, 0.290, 0.356","10.256","0.313, 0.250, 0.260, 0.549, 0.193, 0.210","10.802"
"SD","20.423","38.564","20.506","39.511"
"Min","0.021","0.084","0.024","0.089"
"Max","247.241","249.306","247.926","253.043"
"Blank",,,,
"1","0.109","0.084","0.134","7.559"
"2","0.350","7.545","0.324","0.986"
"3","10.683","3.471","10.697","19.630"
"4","0.673","17.188","0.701","0.368"
"5","0.231","0.314","0.417","0.089"
"6","19.618","2.835","19.402","2.945"
"7","0.176","0.173","0.174","8.677"
"8","0.085","11.675","0.083","13.715"
"9","0.241","14.531","0.241","12.774"
"10","0.042","8.971","0.042","0.759"
"11","10.752","0.748","10.779","0.876"
"12","0.371","4.067","0.359","3.284"
"13","0.626","0.156","0.612","9.061"
"14","0.192","13.640","0.188","15.274"
"15","12.378","15.058","12.373","16.502"
"16","1.311","16.014","1.311","4.008"
"17","0.299","0.123","0.316","7.024"
"18","0.451","11.206","0.443","14.223"
"19","12.174","14.037","12.180","11.137"
"20","0.487","11.466","0.472","13.582"
"21","1.427","13.083","1.426","10.128"
"22","11.757","9.251","11.765","9.647"
"23","0.334","10.859","0.547","13.067"
"24","0.329","12.556","0.116","10.093"
"25","0.452","9.253","0.445","10.152"
"26","0.584","13.067","0.621","12.102"
"27","12.914","9.699","12.893","8.861"
"28","0.271","8.766","0.256","8.490"
"29","0.340","10.255","0.361","16.072"
"30","0.478","14.872","0.457","9.225"
"31","0.686","9.337","0.683","9.014"
"32","0.030","8.340","0.036","8.397"
"33","0.200","8.584","0.228","9.149"
"34","0.191","10.331","0.172","10.001"
"35","0.281","11.176","0.272","5.853"
"36","13.566","0.668","13.567","12.257"
"37","1.337","14.617","1.343","9.533"
"38","0.586","11.062","0.574","12.129"
"39","9.609","13.302","9.635","11.093"
"40","0.219","13.207","0.195","16.927"
"41","0.062","12.478","0.075","10.181"
"42","0.753","12.596","0.738","11.956"
"43","0.195","10.661","0.199","11.320"
"44","0.564","10.973","0.561","10.040"
"45","0.173","9.136","0.173","10.812"
"46","0.031","12.816","0.039","12.870"
"47","13.199","13.099","13.399","12.605"
"48","0.275","18.741","0.072","20.437"
"49","0.171","13.677","0.168","14.050"
"50","10.337","12.752","10.342","10.539"
"51","0.290","11.140","0.312","10.802"
"52","0.271","12.727","0.250","11.815"
"53","0.049","10.545","0.046","15.562"
"54","0.689","15.107","0.700","10.635"
"55","0.365","11.796","0.362","13.417"
"56","0.194","15.264","0.204","13.408"
"57","10.866","13.070","10.855","15.395"
"58","0.384","13.516","0.383","10.175"
"59","0.591","8.428","0.627","8.952"
"60","0.272","9.697","0.229","10.802"
"61","0.028","10.133","0.037","8.491"
"62","8.730","8.466","8.729","9.519"
"63","0.358","9.816","0.380","8.361"
"64","0.245","10.431","0.212","13.378"
"65","0.025","11.752","0.037","9.682"
"66","0.459","10.255","0.463","13.394"
"67","0.254","15.015","0.259","15.833"
"68","8.450","14.183","8.429","9.898"
"69","0.643","10.926","0.659","10.822"
"70","0.334","11.605","0.325","15.274"
"71","0.694","14.461","0.683","11.603"
"72","0.021","9.681","0.040","8.636"
