"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","318","61","314","60"
"Mean","11.259","58.677","11.413","59.586"
"Median","1.535","11.427","1.534","10.791"
"Mode","1.423, 0.300","0.135","0.404, 0.300","All values"
"SD","63.586","168.440","64.030","169.925"
"Min","0.060","0.134","0.089","0.090"
"Max","1,057.899","1,098.928","1,058.545","1,099.288"
"Blank",,,,
"1","7.066","5.705","7.021","1.902"
"2","0.374","1.736","0.510","6.812"
"3","7.456","7.427","7.321","3.115"
"4","2.084","2.966","2.622","7.236"
"5","0.792","7.131","0.195","2.304"
"6","0.105","2.770","0.194","3.013"
"7","6.292","2.039","6.531","6.816"
"8","0.628","8.482","0.493","3.417"
"9","1.722","2.530","2.308","7.922"
"10","0.929","8.164","0.298","2.712"
"11","0.358","7.655","0.210","12.933"
"12","1.649","7.239","1.902","1.814"
"13","6.847","3.207","7.417","4.522"
"14","0.960","18.423","0.209","17.045"
"15","0.238","22.200","0.301","29.403"
"16","0.300","10.677","0.298","3.009"
"17","0.314","1.662","0.405","2.200"
"18","1.542","48.163","2.095","49.662"
"19","0.853","23.260","0.149","22.061"
"20","0.089","11.427","8.177","10.649"
"21","7.832","0.195","1.709","1.902"
"22","1.932","22.528","0.403","28.985"
"23","0.464","14.695","0.210","6.727"
"24","0.134","6.664","0.194","7.025"
"25","0.269","14.274","0.405","14.949"
"26","0.405","10.322","1.004","9.242"
"27","1.034","0.134","0.403","0.495"
"28","0.120","0.134","0.390","4.027"
"29","0.388","4.266","1.003","0.090"
"30","1.182","0.241","2.218","10.423"
"31","2.203","9.014","7.105","84.297"
"32","6.822","77.093","1.513","65.553"
"33","1.768","71.469","0.509","14.151"
"34","0.569","16.669","0.495","88.683"
"35","0.284","87.126","0.808","11.234"
"36","1.003","11.862","4.913","10.934"
"37","4.704","2.679","0.808","8.629"
"38","1.122","17.452","0.298","41.154"
"39","0.299","40.944","0.704","38.956"
"40","0.448","38.855","0.194","157.638"
"41","0.433","148.651","10.335","18.270"
"42","10.215","25.730","0.897","1.197"
"43","0.555","3.413","20.673","39.134"
"44","21.077","38.250","0.614","55.796"
"45","0.343","56.573","1.198","0.702"
"46","1.438","0.435","11.725","108.924"
"47","11.576","108.354","0.599","14.454"
"48","0.748","6.020","1.722","8.732"
"49","1.423","17.990","2.007","57.702"
"50","1.978","56.953","2.411","9.230"
"51","1.826","9.304","1.602","11.863"
"52","2.620","11.413","25.766","24.978"
"53","25.571","26.326","0.406","127.327"
"54","0.286","126.712","2.411","22.875"
"55","2.472","22.846","0.794","472.080"
"56","0.868","471.166","2.516","41.044"
"57","1.155","30.978","0.795","7.022"
"58","1.632","18.364","7.536","2.411"
"59","8.195","2.259","19.454","1,099.288"
"60","18.467","1,098.928","1.003","648.478"
"61","2.005","649.168","1.692",
"62","1.452",,"24.985",
"63","24.597",,"5.212",
"64","5.616",,"5.123",
"65","5.228",,"13.555",
"66","11.669",,"0.599",
"67","2.680",,"0.391",
"68","0.060",,"4.012",
"69","1.707",,"0.807",
"70","3.295",,"0.301",
"71","0.283",,"0.388",
"72","0.375",,"1.242",
"73","0.240",,"8.101",
"74","8.939",,"1.798",
"75","1.454",,"0.911",
"76","1.017",,"3.506",
