"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","459","32","458","32"
"Mean","7.570","97.365","7.587","97.355"
"Median","0.616","25.837","0.568","28.314"
"Mode","0.404","All values","0.404, 0.315","All values"
"SD","46.518","199.383","46.635","196.797"
"Min","0.029","0.210","0.061","0.104"
"Max","572.286","1,020.460","572.601","1,004.217"
"Blank",,,,
"1","7.230","2.815","7.095","8.654"
"2","0.224","7.365","0.254","7.928"
"3","7.750","9.277","7.720","9.050"
"4","0.238","10.520","0.254","11.960"
"5","0.224","12.228","0.163","10.443"
"6","0.089","8.799","0.150","3.448"
"7","0.269","3.161","0.239","13.182"
"8","0.225","17.464","0.540","17.230"
"9","0.495","28.532","0.208","33.414"
"10","9.829","34.981","9.860","32.785"
"11","0.254","36.758","0.225","36.718"
"12","0.224","156.105","0.254","142.847"
"13","0.255","74.077","0.224","92.261"
"14","10.461","21.045","10.626","4.406"
"15","0.358","43.980","0.225","60.415"
"16","0.256","173.928","0.164","172.207"
"17","0.134","1,020.460","0.164","1,004.217"
"18","0.209","0.210","0.254","5.876"
"19","0.299","506.347","0.359","505.089"
"20","0.270","85.108","0.299","80.760"
"21","7.357","95.673","7.343","96.840"
"22","0.298","32.917","0.088","50.627"
"23","0.030","46.777","0.225","31.137"
"24","0.286","184.017","0.179","198.595"
"25","0.240","77.670","0.299","59.898"
"26","0.224","23.143","0.225","25.492"
"27","0.179","388.463","0.136","386.039"
"28","0.136","0.269","0.253","0.733"
"29","1.978","0.704","1.859","0.450"
"30","0.210","0.375","0.269","0.179"
"31","0.314","8.150","0.270","12.364"
"32","0.283","4.378","0.494","0.104"
"33","13.872",,"13.661",
"34","0.284",,"0.329",
"35","0.239",,"0.239",
"36","0.299",,"0.269",
"37","0.269",,"0.299",
"38","0.329",,"0.284",
"39","0.254",,"0.254",
"40","0.313",,"0.299",
"41","0.346",,"0.495",
"42","0.388",,"0.314",
"43","0.344",,"0.313",
"44","0.269",,"0.224",
"45","0.298",,"0.403",
