"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","542","182","531","181"
"Mean","6.639","19.766","6.776","19.844"
"Median","0.345","7.057","0.405","7.004"
"Mode","0.270","6.540","0.300","6.495, 6.705, 7.005, 8.490"
"SD","57.864","99.059","58.456","99.879"
"Min","0.060","1.125","0.029","1.995"
"Max","1,253.418","1,260.318","1,253.508","1,265.087"
"Blank",,,,
"1","0.961","5.939","0.811","6.420"
"2","0.344","5.564","0.193","6.613"
"3","5.264","6.673","5.414","6.690"
"4","0.434","7.530","0.299","7.722"
"5","0.225","8.323","0.299","8.414"
"6","4.994","7.214","5.009","6.600"
"7","0.284","6.240","0.300","6.719"
"8","0.270","6.974","0.195","6.121"
"9","6.000","6.075","6.029","5.699"
"10","0.329","5.594","0.405","6.599"
"11","0.330","6.960","0.209","7.499"
"12","6.029","7.619","6.494","6.600"
"13","0.915","6.449","0.496","7.004"
"14","0.583","8.563","0.599","7.903"
"15","7.648","6.406","7.709","7.515"
"16","0.331","7.198","0.615","6.000"
"17","0.329","6.015","6.089","6.299"
"18","6.134","6.344","0.209","6.031"
"19","0.239","6.150","0.299","5.998"
"20","0.196","5.669","0.240","5.699"
"21","0.464","7.965","6.059","8.010"
"22","5.940","6.043","0.194","6.193"
"23","0.209","6.075","0.196","6.300"
"24","0.240","6.540","6.329","6.508"
"25","6.239","6.088","0.165","6.001"
"26","0.224","6.073","0.433","5.399"
"27","0.211","6.045","0.196","6.001"
"28","0.389","6.406","5.324","6.209"
"29","5.355","4.829","0.300","5.911"
"30","0.179","6.435","0.104","6.405"
"31","0.270","6.360","5.190","5.608"
"32","5.204","5.563","0.209","5.099"
"33","0.060","4.814","0.194","5.400"
"34","0.224","7.620","0.194","7.905"
"35","0.179","5.775","6.210","5.909"
"36","6.165","5.849","0.495","5.700"
"37","0.240","5.790","0.359","6.104"
"38","0.689","6.539","6.539","6.599"
"39","6.524","6.359","0.405","6.301"
"40","0.254","6.044","0.195","5.954"
"41","0.359","6.180","0.194","7.064"
"42","0.269","6.961","0.210","6.000"
"43","0.150","6.133","5.745","6.314"
"44","5.819","6.991","0.450","7.604"
"45","0.196","6.764","0.194","6.390"
"46","0.359","6.405","7.513","5.505"
"47","7.498","6.374","0.300","6.598"
"48","0.209","6.045","0.194","5.910"
"49","0.271","5.295","0.509","6.105"
"50","0.224","7.439","0.195","6.794"
"51","0.524","5.670","5.310","6.510"
"52","5.251","6.883","0.195","6.014"
"53","0.209","6.540","0.599","6.810"
"54","0.343","5.879","6.808","6.389"
"55","7.066","48.406","0.299","43.815"
"56","0.240","24.569","5.670","30.014"
"57","5.818","7.604","0.525","7.710"
"58","0.195","7.590","0.209","6.495"
"59","0.480","6.269","5.596","6.809"
"60","5.640","8.040","0.299","7.500"
"61","0.194","6.509","0.299","6.495"
"62","0.271","7.019","5.218","7.410"
"63","5.414","6.540","0.166","6.689"
"64","0.121","7.891","0.449","7.019"
"65","0.299","5.923","0.194","6.405"
"66","0.254","7.019","5.399","2.699"
"67","5.413","1.545","0.299","6.000"
"68","0.256","7.050","5.311","7.800"
"69","5.443","7.289","2.504","6.599"
"70","2.491","7.770","0.389","7.800"
"71","0.254","6.809","5.099","8.609"
"72","5.175","10.139","0.300","3.600"
"73","0.313","1.455","0.299","5.896"
"74","0.225","6.779","0.299","6.703"
"75","0.419","6.495","5.400","6.600"
"76","5.324","6.465","0.300","6.210"
"77","0.225","6.779","0.406","6.704"
"78","0.569","7.065","5.594","8.205"
"79","5.490","8.294","0.209","2.789"
"80","0.090","1.139","0.300","5.805"
"81","0.164","6.975","0.389","6.299"
"82","0.164","5.519","5.504","6.509"
"83","0.524","6.555","0.405","6.389"
"84","5.504","6.735","0.299","6.705"
"85","0.209","6.734","5.294","1.995"
"86","0.376","1.500","0.195","5.610"
"87","5.400","6.629","0.509","7.993"
"88","0.194","7.709","4.709","7.215"
"89","0.224","6.929","0.195","6.300"
"90","5.009","6.015","0.404","6.495"
"91","0.224","6.704","0.525","6.704"
"92","0.194","7.200","5.671","7.004"
"93","0.375","7.049","0.193","7.200"
"94","5.506","6.930","0.406","7.004"
"95","0.659","6.629","0.194","7.199"
"96","0.256","7.559","4.604","6.555"
"97","0.418","6.539","0.090","6.149"
"98","4.605","6.675","0.209","7.004"
"99","0.104","5.970","5.610","6.196"
"100","0.165","6.839","0.495","6.403"
"101","5.609","6.165","0.300","6.194"
"102","0.344","6.524","5.715","6.210"
"103","0.360","6.539","0.509","6.690"
"104","5.805","6.195","4.994","6.209"
"105","0.240","7.964","0.210","9.315"
"106","0.090","7.335","4.995","5.894"
"107","5.173","343.900","0.299","350.396"
"108","0.195","14.414","0.105","13.230"
"109","5.025","11.384","7.394","9.509"
"110","0.210","9.795","0.301","10.409"
"111","0.209","11.069","5.098","11.625"
"112","7.305","10.575","0.224","9.630"
"113","0.239","9.750","0.284","9.629"
"114","5.221","9.285","5.400","8.115"
"115","0.224","8.535","0.194","8.340"
"116","0.224","8.129","0.300","9.014"
"117","5.369","8.940","5.205","7.605"
"118","0.270","7.815","0.299","8.025"
"119","0.210","7.829","0.300","6.990"
"120","5.370","6.974","5.716","8.128"
"121","0.179","8.474","0.388","7.515"
"122","0.270","7.514","0.270","6.929"
"123","5.715","6.809","5.835","7.110"
"124","0.240","7.290","0.224","7.634"
"125","0.465","7.258","0.479","6.704"
"126","5.835","6.750","5.594","8.325"
"127","0.284","8.370","0.194","8.115"
"128","0.270","8.099","0.300","7.335"
"129","5.683","7.800","5.504","7.125"
"130","0.331","7.274","0.405","7.634"
"131","0.103","1,260.318","0.194","1,265.087"
"132","5.610","17.460","6.466","15.360"
"133","0.360","17.248","0.553","17.746"
"134","0.239","10.200","5.399","9.119"
"135","6.449","9.329","0.735","8.699"
"136","0.315","8.490","5.670","8.610"
"137","0.239","8.804","0.479","8.489"
"138","5.399","8.429","0.824","7.815"
"139","0.270","7.530","6.104","8.503"
"140","0.524","8.532","0.300","7.710"
"141","5.550","7.846","0.300","6.989"
"142","0.300","7.018","5.805","7.320"
