"Row_Name","Nose_Poke #1: On","Nose_Poke #1: Off"
"N","199","199"
"Mean","16.759","16.759"
"Median","0.822","0.792"
"Mode","0.240","0.404"
"SD","88.983","88.912"
"Min","0.088","0.060"
"Max","1,103.036","1,102.318"
"Blank",,
"1","0.809","0.165"
"2","0.165","0.314"
"3","0.299","0.075"
"4","0.239","0.374"
"5","0.254","0.478"
"6","0.612","0.448"
"7","2.007","3.221"
"8","1.544","0.255"
"9","0.689","0.584"
"10","0.119","0.134"
"11","0.165","0.195"
"12","1.320","2.054"
"13","4.460","3.698"
"14","0.240","0.673"
"15","0.570","0.269"
"16","0.298","0.238"
"17","0.314","0.224"
"18","0.224","0.208"
"19","0.839","1.140"
"20","0.823","0.598"
"21","23.784","24.697"
"22","1.304","0.585"
"23","0.493","0.300"
"24","0.179","1.076"
"25","1.122","0.314"
"26","0.434","0.329"
"27","0.134","0.223"
"28","0.418","0.464"
"29","32.772","32.591"
"30","0.164","3.762"
"31","3.716","0.495"
"32","2.456","2.754"
"33","1.706","1.046"
"34","1.302","1.243"
"35","0.088","1.168"
"36","1.123","0.088"
"37","1.062","1.137"
"38","0.299","0.270"
"39","0.209","0.224"
"40","0.435","0.405"
"41","0.763","0.703"
"42","0.149","0.134"
"43","0.569","0.719"
"44","1.466","1.390"
"45","0.164","0.344"
"46","0.823","1.362"
"47","65.922","67.782"
"48","2.698","0.120"
"49","0.181","0.194"
"50","0.494","0.480"
"51","0.270","0.629"
"52","0.658","0.478"
"53","0.360","0.510"
"54","0.539","0.224"
"55","0.253","0.209"
"56","0.884","0.868"
"57","0.254","0.555"
"58","19.835","19.985"
"59","0.631","0.943"
"60","46.531","49.277"
"61","3.599","0.060"
"62","0.344","1.305"
"63","5.754","4.944"
"64","4.872","7.001"
"65","32.560","30.296"
"66","0.133","0.704"
"67","30.227","30.826"
"68","1.228","2.144"
"69","2.353","0.254"
"70","0.105","1.197"
"71","16.880","18.424"
"72","2.769","1.573"
"73","2.382","1.645"
"74","0.942","0.375"
"75","0.180","0.524"
"76","0.689","0.882"
"77","0.942","0.403"
"78","23.661","23.722"
"79","0.300","0.598"
"80","0.747","0.434"
"81","0.225","1.244"
"82","14.062","13.373"
"83","0.735","0.239"
"84","0.104","1.379"
"85","1.379","0.689"
"86","60.204","59.680"
"87","0.135","4.555"
"88","46.469","42.184"
"89","0.329","0.344"
"90","2.545","2.336"
"91","0.090","0.329"
"92","18.000","20.129"
"93","28.365","26.567"
"94","0.674","1.107"
"95","26.880","26.026"
"96","2.202","2.129"
"97","0.254","0.298"
"98","0.360","0.600"
"99","9.136","10.875"
"100","2.218","0.179"
"101","0.224","0.149"
"102","130.237","130.282"
"103","0.178","3.162"
"104","3.236","0.853"
"105","12.548","13.043"
"106","1.229","0.944"
"107","0.957","0.269"
"108","0.269","0.508"
"109","2.437","2.349"
"110","92.447","92.163"
"111","2.891","2.905"
"112","0.223","0.403"
"113","0.420","0.405"
"114","0.495","0.539"
"115","5.769","6.413"
"116","1.812","1.572"
"117","0.750","1.229"
"118","1.378","0.630"
"119","0.615","0.359"
"120","0.210","0.089"
"121","1.062","1.363"
"122","16.048","15.793"
"123","0.195","1.751"
"124","1.721","0.329"
"125","0.374","0.971"
"126","179.021","179.143"
"127","25.861","25.157"
"128","0.284","0.791"
"129","1.121","0.358"
"130","0.224","0.403"
"131","0.987","1.557"
"132","26.503","28.586"
"133","3.026","0.269"
"134","0.105","0.195"
"135","0.240","1.736"
"136","1.916","1.346"
"137","1.375","1.273"
"138","1.244","0.509"
"139","4.937","6.259"
"140","1.740","0.597"
"141","0.688","0.344"
"142","0.299","0.748"
"143","14.058","13.535"
"144","0.120","1.334"
"145","1.722","0.568"
"146","0.374","0.359"
"147","0.375","0.434"
"148","0.284","0.329"
"149","0.240","0.495"
"150","2.365","2.019"
"151","111.272","111.271"
"152","2.602","2.603"
"153","0.345","1.124"
"154","1.511","0.792"
"155","0.240","0.688"
"156","5.826","5.783"
"157","0.644","0.495"
"158","0.570","0.657"
"159","0.762","1.048"
"160","1,103.036","1,102.318"
"161","0.659","0.672"
"162","9.360","9.675"
"163","64.411","67.050"
"164","3.148","0.659"
"165","0.675","0.360"
"166","0.255","0.403"
"167","0.657","1.137"
"168","12.878","13.972"
"169","37.253","35.351"
"170","7.083","9.181"
"171","2.530","0.882"
"172","0.748","1.452"
"173","1.244","0.104"
"174","0.284","0.269"
"175","10.940","12.335"
"176","1.514","1.949"
"177","5.081","5.184"
"178","400.715","399.171"
"179","3.155","3.021"
"180","0.822","1.943"
"181","2.798","1.465"
"182","0.134","0.224"
"183","0.194","0.148"
"184","10.245","10.875"
"185","0.793","0.465"
"186","0.494","0.224"
"187","0.224","0.658"
"188","0.822","1.016"
"189","1.017","0.657"
"190","395.735","395.616"
"191","0.358","0.150"
"192","0.164","1.199"
"193","3.927","3.012"
"194","0.328","1.451"
"195","1.543","0.629"
"196","0.509","0.284"
"197","0.479","0.298"
"198","0.149","0.375"
"199","0.450","0.960"
