"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","203","40","198","40"
"Mean","10.758","77.301","11.030","77.123"
"Median","0.403","15.328","0.403","14.500"
"Mode","0.120, 0.105","All values","0.404","All values"
"SD","54.284","227.707","54.970","228.015"
"Min","0.044","0.075","0.043","0.105"
"Max","497.287","1,384.736","497.318","1,383.107"
"Blank",,,,
"1","0.119","18.018","0.090","11.573"
"2","26.360","23.308","26.390","41.339"
"3","19.216","26.359","19.155","21.853"
"4","0.134","20.370","0.105","19.367"
"5","0.105","17.597","0.495","16.834"
"6","0.870","16.773","0.599","7.216"
"7","0.194","7.022","0.105","16.847"
"8","0.120","21.084","0.105","11.724"
"9","16.653","8.806","16.744","16.040"
"10","0.284","10.724","0.193","0.193"
"11","0.194","11.241","0.195","20.694"
"12","0.105","13.884","0.105","6.500"
"13","0.045","8.913","0.043","8.043"
"14","0.088","4.805","0.164","14.435"
"15","15.726","18.093","15.727","9.721"
"16","0.299","5.556","0.298","4.207"
"17","0.284","5.781","0.299","5.814"
"18","0.313","10.215","0.300","8.926"
"19","6.408","0.224","6.421","15.627"
"20","0.688","39.561","0.704","24.983"
"21","17.115","26.769","17.040","26.081"
"22","0.659","0.298","0.899","0.298"
"23","0.628","255.716","0.808","256.105"
"24","0.986","6.408","0.597","7.352"
"25","1.409","4.539","1.707","18.675"
"26","0.448","23.855","0.194","9.630"
"27","6.873","6.231","6.829","6.933"
"28","0.285","8.687","0.403","8.028"
"29","0.313","4.928","0.240","3.504"
"30","0.612","0.075","0.552","0.105"
"31","0.539","0.178","0.525","0.193"
"32","13.372","42.809","13.402","43.049"
"33","0.120","299.205","0.612","299.534"
"34","1.002","421.837","0.793","432.636"
"35","0.524","23.050","0.210","12.641"
"36","0.075","21.625","0.299","21.447"
"37","2.590","12.392","2.605","14.565"
"38","0.359","226.567","0.508","226.972"
"39","0.044","33.807","0.224","32.110"
"40","0.299","1,384.736","1.166","1,383.107"
"41","0.314",,"2.111",
"42","0.044",,"0.104",
"43","2.680",,"0.090",
"44","0.612",,"0.104",
"45","0.075",,"13.060",
"46","0.089",,"0.390",
"47","13.060",,"0.209",
"48","0.120",,"4.614",
"49","0.405",,"0.403",
"50","4.688",,"0.195",
"51","0.105",,"0.193",
"52","0.418",,"0.614",
"53","0.284",,"1.094",
"54","0.254",,"0.403",
"55","0.689",,"0.210",
"56","0.044",,"0.388",
"57","1.004",,"1.004",
"58","0.223",,"3.622",
"59","0.254",,"0.090",
"60","0.433",,"0.209",
"61","4.387",,"0.194",
"62","0.165",,"0.194",
"63","0.104",,"0.209",
"64","0.239",,"0.104",
"65","0.269",,"0.194",
"66","0.118",,"13.837",
"67","0.180",,"0.405",
"68","0.058",,"0.194",
"69","13.957",,"1.257",
"70","0.105",,"0.346",
"71","0.405",,"1.304",
"72","0.209",,"0.194",
"73","1.257",,"0.612",
"74","1.515",,"5.003",
"75","0.104",,"0.299",
"76","0.299",,"4.912",
"77","5.376",,"0.299",
"78","0.315",,"0.300",
"79","4.941",,"4.718",
"80","0.284",,"0.195",
"81","0.105",,"1.002",
"82","4.870",,"0.300",
"83","0.254",,"0.508",
"84","0.942",,"0.300",
"85","0.209",,"0.704",
"86","0.540",,"0.389",
"87","0.358",,"1.108",
"88","0.223",,"0.194",
"89","0.885",,"0.403",
"90","1.107",,"0.104",
"91","0.225",,"0.299",
"92","0.163",,"0.420",
"93","0.389",,"25.437",
"94","0.165",,"0.120",
"95","0.555",,"0.178",
"96","25.376",,"0.105",
"97","0.105",,"0.509",
"98","0.239",,"0.389",
"99","0.089",,"0.105",
"100","0.509",,"1.423",
"101","0.419",,"3.593",
"102","0.045",,"0.211",
"103","0.942",,"0.389",
"104","4.060",,"1.810",
"105","0.270",,"0.299",
"106","0.300",,"0.600",
"107","0.433",,"0.300",
"108","1.751",,"9.824",
"109","0.389",,"0.435",
"110","0.284",,"0.373",
"111","9.810",,"0.300",
"112","0.329",,"0.194",
"113","0.495",,"274.667",
"114","0.074",,"0.493",
"115","0.329",,"6.527",
"116","0.329",,"0.298",
"117","273.977",,"4.451",
"118","1.183",,"0.195",
"119","6.496",,"0.164",
"120","0.344",,"22.523",
"121","4.390",,"0.403",
"122","0.149",,"0.403",
"123","0.285",,"3.418",
"124","22.492",,"0.193",
"125","0.359",,"0.284",
"126","0.403",,"0.224",
"127","3.418",,"0.597",
"128","0.120",,"0.406",
"129","0.208",,"1.001",
"130","0.344",,"0.193",
"131","0.644",,"0.300",
"132","0.134",,"5.630",
"133","0.988",,"0.298",
"134","0.509",,"0.403",
"135","0.134",,"0.509",
"136","5.752",,"0.090",
"137","0.253",,"0.105",
"138","0.403",,"314.367",
"139","0.509",,"0.300",
"140","0.149",,"0.598",
"141","0.090",,"1.214",
"142","313.799",,"0.793",
"143","0.810",,"11.951",
"144","0.433",,"0.299",
"145","1.422",,"0.404",
"146","0.808",,"0.300",
"147","11.966",,"0.493",
"148","0.149",,"1.302",
"149","0.600",,"369.492",
"150","0.075",,"0.298",
"151","0.733",,"31.149",
"152","1.182",,"0.435",
"153","369.522",,"0.702",
"154","0.344",,"3.009",
"155","30.908",,"32.577",
"156","0.674",,"0.600",
"157","0.165",,"0.600",
"158","3.517",,"22.271",
"159","31.665",,"0.105",
"160","1.453",,"0.299",
"161","0.210",,"0.299",
"162","22.781",,"3.715",
"163","0.045",,"0.194",
"164","0.269",,"1.198",
"165","0.359",,"0.807",
"166","3.730",,"0.105",
