"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","240","19","231","20"
"Mean","10.422","126.735","10.829","121.665"
"Median","0.462","18.406","0.508","16.087"
"Mode","0.269, 0.210, 0.404, 0.733","All values","0.299","All values"
"SD","91.936","296.986","93.712","295.991"
"Min","0.028","4.991","0.088","6.514"
"Max","1,305.851","1,258.898","1,305.940","1,278.239"
"Blank",,,,
"1","0.731","6.949","0.807","10.732"
"2","0.300","7.622","0.193","6.514"
"3","0.821","8.070","0.807","9.823"
"4","5.241","18.406","5.211","13.235"
"5","0.195","6.622","0.495","11.700"
"6","0.748","15.128","0.509","15.069"
"7","5.376","8.555","5.317","7.493"
"8","0.118","19.680","0.208","16.938"
"9","0.255","10.947","0.689","14.229"
"10","0.390","56.718","1.108","19.055"
"11","1.151","26.509","0.195","52.924"
"12","0.240","28.878","0.298","16.040"
"13","0.134","18.004","0.403","31.932"
"14","0.553","571.982","0.300","17.453"
"15","0.210","68.175","5.808","587.520"
"16","5.943","1,258.898","0.509","52.108"
"17","0.509","33.580","0.404","1,278.239"
"18","0.403","4.991","0.493","16.134"
"19","0.524","238.252","0.509","11.211"
"20","0.463",,"0.195","244.950"
"21","0.240",,"15.320",
"22","15.305",,"0.403",
"23","0.389",,"0.300",
"24","0.359",,"0.253",
"25","0.253",,"0.493",
"26","0.300",,"0.463",
"27","0.567",,"0.495",
"28","0.494",,"0.298",
"29","0.315",,"0.195",
"30","0.103",,"6.308",
"31","6.457",,"0.509",
"32","0.268",,"13.241",
"33","13.423",,"0.403",
"34","0.328",,"0.299",
"35","0.404",,"0.495",
"36","0.449",,"0.194",
"37","0.150",,"0.209",
"38","0.269",,"6.311",
"39","6.355",,"0.388",
"40","0.373",,"0.299",
"41","0.255",,"0.209",
"42","0.253",,"0.600",
"43","0.285",,"0.492",
"44","0.792",,"0.209",
"45","0.254",,"0.194",
"46","0.045",,"0.105",
"47","0.209",,"13.852",
"48","13.882",,"0.374",
