"Row_Name","Tray #1: On","Tray #1: Off"
"N","6","6"
"Mean","156.664","156.362"
"Median","3.278","3.557"
"Mode","All values","All values"
"SD","269.610","270.518"
"Min","2.249","0.298"
"Max","740.191","741.975"
"Blank",,
"1","2.249","1.109"
"2","740.191","741.975"
"3","3.788","3.909"
"4","188.368","187.674"
"5","2.619","3.206"
"6","2.769","0.298"
