"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","604","202","585","202"
"Mean","4.930","14.752","5.090","14.789"
"Median","0.329","5.878","0.314","5.932"
"Mode","0.270","6.000, 6.135","0.300","5.205, 6.000"
"SD","45.261","73.431","45.987","73.307"
"Min","0.044","1.274","0.074","1.500"
"Max","915.942","911.487","916.002","908.353"
"Blank",,,,
"1","1.125","3.631","1.394","7.410"
"2","0.585","6.268","0.300","6.510"
"3","5.729","6.570","5.699","5.895"
"4","0.240","5.850","0.300","5.504"
"5","0.285","5.520","0.209","5.205"
"6","5.969","5.039","6.000","5.009"
"7","0.225","5.159","0.404","5.910"
"8","0.344","5.835","0.195","5.924"
"9","5.414","6.000","5.295","5.895"
"10","0.195","5.819","0.195","5.533"
"11","0.195","5.850","0.403","5.895"
"12","5.055","5.550","5.010","5.519"
"13","0.330","5.609","0.300","5.609"
"14","0.210","5.699","0.195","5.715"
"15","4.604","6.015","4.484","6.119"
"16","0.195","6.210","0.329","5.609"
"17","0.240","5.518","0.195","6.045"
"18","4.545","6.015","4.605","5.729"
"19","0.314","6.075","0.299","7.665"
"20","0.270","7.260","0.195","5.444"
"21","5.324","5.144","5.430","4.933"
"22","0.314","5.113","0.299","5.293"
"23","0.240","5.114","0.195","5.955"
"24","5.535","6.044","5.520","6.869"
"25","0.210","6.840","0.195","5.130"
"26","0.239","4.844","0.299","5.144"
"27","5.370","5.955","5.310","5.145"
"28","0.224","4.394","0.195","4.918"
"29","0.225","6.103","0.314","5.984"
"30","5.054","4.950","5.114","4.680"
"31","0.270","5.114","0.494","5.925"
"32","0.494","5.280","0.195","5.204"
"33","5.130","5.625","5.099","5.205"
"34","0.209","5.264","0.210","4.875"
"35","0.225","7.109","0.299","7.709"
"36","5.054","5.536","5.025","5.385"
"37","0.254","5.040","0.299","5.459"
"38","0.315","5.354","0.194","5.265"
"39","5.159","5.460","5.204","5.324"
"40","0.224","5.310","0.210","5.070"
"41","0.195","4.965","0.299","5.774"
"42","5.295","5.714","5.204","6.240"
"43","0.239","6.269","0.450","5.520"
"44","0.420","5.685","0.254","6.224"
"45","0.284","5.925","0.210","6.014"
"46","5.114","7.200","5.114","7.995"
"47","0.225","8.505","0.391","6.403"
"48","0.105","4.935","0.208","6.001"
"49","0.239","6.104","0.195","6.718"
"50","0.179","6.658","0.194","5.204"
"51","0.255","5.189","4.514","4.903"
"52","4.619","4.724","0.299","5.701"
"53","0.179","5.789","0.299","6.209"
"54","0.299","6.180","0.299","5.114"
"55","0.210","5.264","0.210","5.191"
"56","0.329","5.011","4.935","5.204"
"57","4.980","5.713","0.104","6.495"
"58","0.119","6.134","0.405","5.414"
"59","0.330","5.189","0.495","4.800"
"60","0.209","5.655","4.814","5.896"
"61","5.084","5.235","0.299","5.204"
"62","0.255","5.503","0.405","6.194"
"63","0.269","5.745","0.195","4.904"
"64","0.329","4.770","0.104","5.100"
"65","0.240","5.279","0.300","5.293"
"66","0.179","5.353","6.479","6.210"
"67","6.405","6.195","0.195","5.399"
"68","0.299","5.429","0.284","6.000"
"69","0.284","6.225","0.224","5.204"
"70","0.240","4.709","4.620","4.710"
"71","4.575","4.950","0.299","5.189"
"72","0.209","5.264","0.300","5.099"
"73","0.269","5.084","4.542","5.115"
"74","4.513","5.355","0.405","5.595"
"75","0.420","5.774","4.783","6.598"
"76","4.933","5.609","0.210","1.500"
"77","0.210","3.031","0.210","5.714"
"78","0.300","4.603","5.340","4.694"
"79","5.250","4.711","0.209","6.150"
"80","0.239","8.863","0.195","8.444"
"81","0.210","5.865","0.299","4.800"
"82","0.164","4.844","6.360","5.009"
"83","6.375","4.995","0.495","6.000"
"84","0.315","6.420","4.634","5.714"
"85","4.814","5.175","0.210","5.295"
"86","0.269","5.264","4.829","5.459"
"87","4.920","5.610","0.210","5.865"
"88","0.164","5.759","0.284","5.204"
"89","0.194","5.355","0.314","6.105"
"90","0.375","5.745","0.210","4.905"
"91","0.210","5.639","4.139","5.939"
"92","4.155","5.714","0.194","5.910"
"93","0.210","6.105","0.195","5.519"
"94","0.134","5.070","4.543","5.309"
"95","4.527","5.504","0.194","6.315"
"96","0.254","6.059","0.810","5.459"
"97","0.225","5.639","0.209","6.705"
"98","0.419","6.570","0.300","5.250"
"99","0.330","5.309","4.455","2.039"
"100","0.209","1.649","0.405","4.993"
"101","4.605","5.293","4.709","5.460"
"102","0.194","5.565","0.194","5.159"
"103","4.889","4.980","0.300","5.427"
"104","0.255","5.636","4.995","1.814"
"105","0.239","1.274","0.300","5.475"
"106","5.025","5.940","4.889","4.933"
"107","0.210","5.369","0.300","5.759"
"108","4.935","6.000","0.194","6.150"
"109","0.239","6.524","0.210","6.164"
"110","0.270","5.294","4.498","5.909"
"111","0.254","5.820","0.615","5.264"
"112","4.409","6.089","0.210","6.180"
"113","0.600","89.399","6.780","91.587"
"114","0.269","139.268","0.300","143.709"
"115","6.658","12.750","4.694","7.603"
"116","0.376","6.778","0.194","7.095"
"117","4.740","7.155","0.525","6.210"
"118","0.254","6.809","4.560","7.004"
"119","0.164","6.419","0.209","6.000"
"120","4.890","6.000","0.420","6.194"
"121","0.180","6.134","4.933","6.300"
"122","0.223","6.435","0.195","5.594"
"123","5.100","5.460","0.180","6.210"
"124","0.240","6.314","4.875","6.720"
"125","0.194","6.825","0.210","6.600"
"126","4.844","6.600","0.239","6.419"
"127","0.224","6.449","4.935","6.404"
"128","0.240","6.284","0.300","6.195"
"129","4.875","6.315","0.194","6.029"
"130","0.224","5.939","4.530","5.595"
"131","0.300","5.760","0.210","6.314"
"132","4.469","6.164","0.299","5.700"
"133","0.254","6.090","5.265","6.419"
"134","0.240","6.239","0.194","6.435"
"135","5.324","6.300","0.194","6.419"
"136","0.254","6.462","5.834","5.728"
"137","0.164","5.805","0.211","5.924"
"138","5.760","5.879","0.299","5.745"
"139","0.284","5.564","5.115","6.120"
"140","0.193","6.764","0.194","6.149"
"141","5.116","5.595","0.210","5.865"
"142","0.284","5.805","0.104","5.835"
"143","0.240","5.878","5.609","5.877"
"144","0.149","5.818","0.405","6.029"
"145","5.489","7.050","5.490","7.394"
"146","0.376","6.404","0.314","7.050"
"147","5.594","6.884","0.705","5.984"
"148","0.254","6.149","0.194","6.000"
"149","0.254","5.880","0.404","5.700"
"150","0.720","5.609","8.204","6.375"
"151","0.224","7.485","0.300","7.440"
"152","8.325","6.914","4.500","5.939"
"153","0.268","5.565","0.194","5.355"
"154","4.439","5.625","0.105","5.819"
"155","0.301","5.759","5.714","6.254"
"156","0.224","6.374","0.195","6.000"
"157","5.520","5.834","0.193","5.984"
