"Row_Name","Nose_Poke #1: On","Nose_Poke #1: Off"
"N","826","825"
"Mean","3.658","3.663"
"Median","0.599","0.552"
"Mode","0.300","0.240"
"SD","18.259","18.289"
"Min","0.044","0.060"
"Max","399.962","400.068"
"Blank",,
"1","0.330","0.734"
"2","0.718","0.269"
"3","5.304","5.139"
"4","0.463","0.897"
"5","0.629","0.314"
"6","0.314","0.389"
"7","0.373","0.103"
"8","2.260","3.654"
"9","1.497","0.193"
"10","0.255","0.210"
"11","0.224","0.658"
"12","0.599","0.583"
"13","0.928","0.583"
"14","0.210","0.254"
"15","0.208","0.359"
"16","0.480","0.569"
"17","5.513","6.698"
"18","1.677","0.449"
"19","0.689","0.404"
"20","0.463","1.018"
"21","0.690","1.512"
"22","24.028","23.354"
"23","0.883","0.449"
"24","0.433","0.239"
"25","0.209","0.345"
"26","15.393","16.008"
"27","1.230","0.359"
"28","0.134","0.239"
"29","0.300","0.463"
"30","15.745","15.521"
"31","0.478","0.793"
"32","0.507","0.254"
"33","0.195","0.209"
"34","0.268","0.435"
"35","12.160","11.963"
"36","10.781","11.411"
"37","0.944","0.555"
"38","0.420","0.360"
"39","0.374","0.538"
"40","21.250","21.504"
"41","0.929","0.255"
"42","0.134","0.673"
"43","12.177","12.418"
"44","0.944","0.373"
"45","0.478","0.539"
"46","11.662","11.556"
"47","0.299","0.420"
"48","0.479","0.268"
"49","0.269","0.405"
"50","0.433","0.449"
"51","11.857","12.455"
"52","1.032","0.600"
"53","0.540","0.479"
"54","9.781","9.420"
"55","0.314","0.495"
"56","0.344","0.210"
"57","0.134","0.103"
"58","0.284","0.645"
"59","0.555","0.493"
"60","12.413","20.905"
"61","9.150","0.555"
"62","0.360","0.403"
"63","13.161","13.281"
"64","0.463","1.017"
"65","1.048","0.314"
"66","10.451","10.467"
"67","0.555","0.479"
"68","0.194","0.375"
"69","0.495","0.209"
"70","0.180","0.331"
"71","0.284","0.435"
"72","0.495","0.493"
"73","0.478","0.448"
"74","11.921","12.310"
"75","0.747","0.134"
"76","0.150","0.150"
"77","0.134","0.659"
"78","10.446","10.055"
"79","0.358","0.883"
"80","0.824","0.418"
"81","9.418","9.689"
"82","0.855","0.450"
"83","0.254","1.258"
"84","8.579","7.488"
"85","0.391","0.435"
"86","0.254","0.239"
"87","0.284","1.544"
"88","0.794","9.778"
"89","9.091","7.911"
"90","9.169","0.420"
"91","0.241","0.238"
"92","0.373","0.210"
"93","0.209","0.298"
"94","0.134","0.418"
"95","0.314","11.007"
"96","11.127","0.150"
"97","0.283","0.853"
"98","0.209","0.358"
"99","0.807","0.449"
"100","0.419","14.640"
"101","8.459","0.718"
"102","6.661","0.434"
"103","0.673","9.261"
"104","9.529","0.478"
"105","0.119","0.688"
"106","0.464","0.510"
"107","0.884","10.467"
"108","10.588","0.448"
"109","0.463","0.403"
"110","0.329","0.569"
"111","0.328","8.137"
"112","8.362","0.194"
"113","0.254","0.209"
"114","0.269","1.002"
"115","0.283","7.759"
"116","8.477","0.732"
"117","0.673","0.254"
"118","0.358","0.165"
"119","0.180","1.048"
"120","0.329","8.733"
"121","9.316","0.238"
"122","0.344","0.165"
"123","0.194","0.568"
"124","0.074","8.499"
"125","8.858","1.033"
"126","0.209","0.509"
"127","1.109","8.661"
"128","7.268","0.524"
"129","1.901","0.374"
"130","0.509","8.187"
"131","6.670","0.418"
"132","1.980","7.254"
"133","7.389","0.328"
"134","0.283","0.405"
"135","0.284","7.459"
"136","7.685","0.704"
"137","0.418","0.209"
"138","0.480","0.465"
"139","0.254","6.637"
"140","6.742","0.793"
"141","0.239","0.747"
"142","0.764","6.759"
"143","7.372","0.689"
"144","0.345","0.179"
"145","0.613","0.388"
"146","0.210","9.862"
"147","9.815","0.298"
"148","0.405","0.809"
"149","0.163","0.314"
"150","0.824","0.300"
"151","0.329","7.555"
"152","7.391","9.924"
"153","10.074","0.134"
"154","0.358","0.463"
"155","0.120","0.404"
"156","0.509","0.463"
"157","0.360","6.620"
"158","6.573","0.598"
"159","0.435","0.375"
"160","0.629","0.343"
"161","0.358","8.884"
"162","8.585","0.509"
"163","0.628","0.270"
"164","0.570","7.513"
"165","7.649","0.345"
"166","0.329","0.480"
"167","0.194","7.502"
"168","7.697","0.254"
"169","0.315","0.254"
"170","0.223","0.552"
"171","0.283","7.322"
"172","7.186","0.300"
"173","0.600","0.269"
"174","0.299","7.251"
"175","6.817","0.900"
"176","0.779","0.224"
"177","0.795","0.391"
"178","0.240","9.015"
"179","9.331","0.075"
"180","0.074","0.508"
"181","0.075","0.375"
"182","0.583","8.464"
"183","8.600","0.196"
"184","0.149","0.283"
