"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","307","62","308","62"
"Mean","11.121","47.646","11.085","47.652"
"Median","0.688","2.943","0.726","5.592"
"Mode","1.663, 0.270, 0.629","0.255","0.375, 0.750, 0.120, 0.285","0.299"
"SD","54.540","157.309","54.490","154.886"
"Min","0.044","0.059","0.030","0.045"
"Max","599.344","919.898","599.480","912.512"
"Blank",,,,
"1","4.824","0.628","5.214","0.673"
"2","1.064","0.314","0.464","1.377"
"3","5.155","5.337","5.948","4.784"
"4","1.122","1.109","0.852","0.839"
"5","0.807","7.443","0.464","8.220"
"6","0.464","14.340","0.314","15.416"
"7","0.210","19.635","0.105","17.614"
"8","13.844","0.434","13.784","10.635"
"9","0.059","19.472","0.105","9.287"
"10","0.269","0.390","0.599","1.168"
"11","0.600","15.328","0.493","14.594"
"12","0.464","2.714","0.359","2.534"
"13","12.414","0.284","12.248","0.523"
"14","0.148","0.313","0.298","0.299"
"15","0.240","5.519","0.540","5.534"
"16","0.644","0.405","0.253","12.235"
"17","0.195","16.834","1.048","5.650"
"18","3.835","0.916","2.936","0.405"
"19","0.179","7.911","0.376","7.777"
"20","0.299","10.396","0.373","10.380"
"21","20.175","12.330","19.920","12.510"
"22","0.284","0.629","0.373","3.508"
"23","0.358","4.167","0.463","1.334"
"24","0.419","0.555","0.435","0.180"
"25","10.732","0.254","11.332","0.240"
"26","4.177","0.493","3.427","0.448"
"27","0.164","0.120","0.210","0.225"
"28","0.225","14.191","0.103","14.474"
"29","0.150","11.145","0.254","10.756"
"30","0.239","0.074","0.194","0.299"
"31","0.179","1.644","0.299","1.480"
"32","33.490","9.587","33.340","9.586"
"33","0.434","0.105","1.559","0.045"
"34","19.192","0.089","18.293","0.449"
"35","3.174","103.806","3.487","103.447"
"36","0.719","0.314","0.631","0.404"
"37","12.949","0.254","12.514","0.403"
"38","0.120","0.478","2.038","23.900"
"39","2.293","143.606","0.538","135.968"
"40","0.299","138.525","0.090","122.996"
"41","9.484","3.173","10.534","4.253"
"42","1.140","20.538","0.134","19.173"
"43","0.539","0.508","1.588","0.553"
"44","1.198","0.375","0.285","0.809"
"45","0.420","8.184","0.792","24.402"
"46","0.612","53.745","0.090","36.823"
"47","26.174","536.015","29.741","536.194"
"48","3.701","1.123","3.370","1.064"
"49","5.286","0.194","3.460","19.644"
"50","2.069","692.117","2.651","672.547"
"51","2.500","65.898","2.438","66.123"
"52","2.619","0.391","0.734","17.394"
"53","0.286","919.898","0.661","912.512"
"54","0.614","17.792","2.979","7.980"
"55","3.923","0.403","1.438","0.508"
"56","0.450","0.238","0.449","0.224"
"57","0.419","4.041","0.582","3.936"
"58","0.612","0.239","0.164","0.253"
"59","0.135","0.059","0.269","4.268"
"60","0.688","34.018","1.677","31.006"
"61","1.900","14.657","0.777","14.089"
"62","0.179","8.354","0.974","8.070"
"63","11.338",,"12.191",
"64","1.828",,"0.480",
"65","12.457",,"12.113",
"66","0.134",,"0.179",
"67","81.652",,"82.971",
"68","1.558",,"0.344",
"69","0.269",,"0.194",
"70","0.316",,"0.271",
"71","0.254",,"0.897",
"72","1.031",,"2.035",
"73","2.889",,"2.740",
"74","1.663",,"0.134",
"75","0.118",,"0.209",
"76","0.434",,"0.479",
"77","16.363",,"16.258",
"78","0.300",,"0.375",
"79","0.240",,"0.210",
"80","0.194",,"0.750",
"81","0.719",,"0.149",
"82","0.314",,"0.343",
"83","0.194",,"0.599",
"84","6.437",,"6.557",
"85","0.689",,"0.839",
"86","33.337",,"34.250",
"87","1.841",,"0.599",
"88","31.683",,"31.248",
"89","0.194",,"0.254",
"90","0.419",,"0.420",
"91","0.225",,"0.329",
"92","0.329",,"0.149",
"93","0.089",,"0.120",
"94","32.915",,"33.020",
"95","0.659",,"0.914",
"96","0.614",,"0.239",
"97","0.120",,"0.644",
"98","2.517",,"1.992",
"99","0.165",,"0.988",
"100","0.913",,"0.120",
"101","0.194",,"1.422",
"102","1.663",,"1.274",
"103","1.287",,"2.262",
"104","13.884",,"12.146",
"105","2.023",,"1.932",
"106","0.180",,"0.942",
"107","1.497",,"0.930",
"108","0.315",,"0.495",
"109","0.465",,"0.074",
"110","0.435",,"0.974",
"111","0.688",,"0.164",
"112","0.134",,"0.750",
"113","0.930",,"2.369",
"114","2.324",,"0.868",
"115","0.778",,"0.450",
"116","0.841",,"0.765",
"117","0.524",,"0.329",
"118","1.108",,"1.078",
"119","0.780",,"2.848",
"120","2.201",,"0.687",
"121","69.364",,"69.065",
"122","0.314",,"0.059",
"123","0.433",,"0.958",
"124","20.085",,"19.711",
"125","0.269",,"1.019",
"126","0.975",,"1.347",
"127","1.663",,"1.094",
"128","49.159",,"48.530",
"129","1.392",,"1.407",
"130","0.615",,"0.869",
"131","7.587",,"7.274",
"132","0.163",,"0.313",
"133","0.643",,"0.478",
"134","0.120",,"0.750",
"135","28.402",,"30.723",
"136","3.086",,"1.095",
"137","1.394",,"0.780",
"138","166.176",,"167.687",
"139","2.007",,"0.883",
"140","1.631",,"0.883",
"141","0.195",,"0.735",
"142","0.644",,"0.030",
"143","4.160",,"0.793",
"144","1.560",,"4.686",
"145","0.554",,"0.661",
"146","1.379",,"1.484",
"147","0.974",,"0.673",
"148","0.208",,"0.509",
"149","17.969",,"0.689",
"150","0.225",,"17.428",
"151","1.767",,"1.078",
"152","0.778",,"1.558",
"153","0.254",,"0.179",
"154","0.763",,"0.807",
"155","6.104",,"0.703",
"156","2.095",,"7.510",
"157","0.328",,"0.120",
"158","0.719",,"0.867",
"159","291.784",,"0.644",
"160","3.216",,"292.324",
"161","1.228",,"2.243",
"162","0.119",,"1.257",
"163","40.199",,"0.045",
"164","0.389",,"40.483",
"165","0.717",,"0.538",
"166","0.674",,"0.598",
"167","0.103",,"0.388",
"168","0.434",,"0.224",
"169","1.106",,"0.389",
"170","3.426",,"1.182",
"171","0.134",,"3.321",
"172","1.362",,"1.182",
"173","79.779",,"0.777",
"174","0.447",,"79.599",
"175","0.644",,"0.613",
"176","0.195",,"0.224",
"177","10.076",,"0.136",
"178","0.225",,"10.091",
"179","1.451",,"1.137",
"180","0.702",,"0.494",
"181","0.496",,"0.778",
