"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","1014","120","1014","121"
"Mean","3.260","27.561","3.260","27.307"
"Median","0.585","11.317","0.597","11.252"
"Mode","0.374","0.510","0.345","0.090"
"SD","28.632","57.100","28.601","57.033"
"Min","0.044","0.075","0.044","0.073"
"Max","729.694","510.793","727.463","511.344"
"Blank",,,,
"1","4.766","4.961","4.647","5.269"
"2","0.314","5.241","0.299","5.489"
"3","4.717","5.338","4.685","1.977"
"4","0.239","1.724","0.255","4.798"
"5","0.224","6.236","0.044","2.907"
"6","0.060","1.483","0.105","4.604"
"7","0.134","5.863","0.135","2.697"
"8","4.829","2.429","4.963","6.000"
"9","0.269","11.263","0.254","15.369"
"10","0.315","15.893","0.150","8.907"
"11","1.317","8.635","1.468","13.644"
"12","0.255","11.576","0.239","6.820"
"13","4.692","4.673","4.722","4.149"
"14","0.225","4.826","0.600","4.436"
"15","0.660","26.183","0.195","30.724"
"16","0.105","17.587","0.059","12.942"
"17","0.119","0.509","0.285","0.073"
"18","0.329","8.306","0.179","14.322"
"19","0.074","14.452","0.179","8.858"
"20","1.289","35.462","1.318","35.478"
"21","4.723","12.441","4.694","18.590"
"22","0.270","15.727","0.285","9.456"
"23","0.209","10.335","0.195","10.322"
"24","0.255","0.435","0.284","0.149"
"25","0.270","10.328","0.104","10.839"
"26","0.193","27.838","0.344","34.047"
"27","1.425","7.214","1.575","0.509"
"28","0.494","10.615","0.344","10.959"
"29","0.210","49.995","0.164","49.967"
"30","0.225","12.067","0.164","12.425"
"31","0.179","40.649","0.359","45.654"
"32","4.905","20.967","4.815","15.902"
"33","0.284","26.389","0.433","26.328"
"34","0.463","7.536","0.344","7.418"
"35","0.315","8.001","0.315","7.941"
"36","0.389","4.901","0.344","5.019"
"37","0.240","18.199","0.149","18.066"
"38","0.105","6.625","0.225","15.381"
"39","0.359","9.312","0.585","0.374"
"40","0.869","19.043","1.094","19.179"
"41","1.183","4.467","0.793","4.601"
"42","0.480","7.551","0.600","8.182"
"43","0.585","57.765","0.314","57.105"
"44","0.179","29.347","0.450","29.437"
"45","0.494","0.778","0.375","0.298"
"46","0.285","6.332","0.060","15.711"
"47","0.059","23.623","0.254","14.620"
"48","9.296","0.509","9.236","0.090"
"49","0.345","3.937","0.390","7.596"
"50","0.329","6.326","0.584","5.875"
"51","0.600","5.751","0.479","3.908"
"52","0.448","13.748","0.494","12.637"
"53","0.945","7.185","1.080","7.906"
"54","0.614","56.279","1.003","55.754"
"55","1.347","5.606","0.914","5.995"
"56","0.540","6.158","0.644","5.725"
"57","0.974","11.372","0.480","11.252"
"58","0.329","13.439","0.344","13.587"
"59","0.120","11.774","0.105","11.400"
"60","2.144","6.997","2.323","7.551"
"61","0.450","21.533","1.185","21.818"
"62","1.634","11.042","1.063","18.899"
"63","0.959","37.595","1.395","29.034"
"64","1.423","3.596","0.687","3.806"
"65","0.314","0.703","1.080","0.297"
"66","1.004","25.727","0.194","26.209"
"67","0.165","36.057","0.704","36.686"
"68","7.948","19.802","7.499","19.410"
"69","0.344","6.062","0.314","5.914"
