"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","388","74","382","74"
"Mean","8.559","44.923","8.700","44.933"
"Median","1.093","16.991","1.109","14.238"
"Mode","0.165","All values","0.404","All values"
"SD","23.903","62.752","24.016","62.953"
"Min","0.075","0.807","0.059","0.104"
"Max","200.048","298.867","199.179","299.498"
"Blank",,,,
"1","5.469","5.183","5.573","5.211"
"2","0.419","8.853","0.283","7.234"
"3","4.569","2.140","4.509","4.137"
"4","0.344","6.492","1.107","3.822"
"5","2.576","3.057","2.606","5.722"
"6","3.505","9.464","2.710","8.834"
"7","5.366","7.411","5.353","5.524"
"8","0.494","13.189","0.493","12.831"
"9","0.209","3.519","0.704","5.917"
"10","1.826","16.474","1.602","13.852"
"11","1.320","13.375","1.109","13.959"
"12","0.358","16.472","0.493","18.855"
"13","4.105","3.147","4.359","0.195"
"14","0.659","7.834","0.284","8.044"
"15","0.388","21.099","0.298","21.067"
"16","0.134","11.531","0.105","11.443"
"17","0.358","5.602","0.599","8.747"
"18","0.570","3.340","0.598","0.104"
"19","0.509","9.978","0.299","10.111"
"20","1.227","5.406","1.602","8.820"
"21","0.584","45.227","0.209","43.164"
"22","0.582","53.740","0.897","52.779"
"23","3.938","4.762","4.418","6.127"
"24","2.905","7.339","2.096","6.019"
"25","0.539","46.270","0.507","46.029"
"26","0.268","7.651","0.509","11.233"
"27","8.641","17.509","8.626","13.854"
"28","6.659","18.554","6.809","18.928"
"29","0.689","10.827","0.299","12.132"
"30","0.179","33.889","0.493","32.870"
"31","0.493","9.197","0.405","12.745"
"32","3.701","11.233","3.507","7.624"
"33","0.179","9.709","0.507","13.036"
"34","0.598","5.887","0.795","1.707"
"35","1.602","2.487","2.021","4.117"
"36","1.393","59.765","0.388","59.709"
"37","15.935","60.947","16.173","60.434"
"38","1.856","10.476","2.113","9.759"
"39","0.734","4.176","0.599","8.652"
"40","0.584","8.742","0.808","7.634"
"41","0.973","79.336","2.096","76.194"
"42","2.125","10.660","0.808","10.240"
"43","14.604","32.259","14.542","33.861"
"44","0.567","40.568","0.644","39.327"
"45","1.108","8.966","1.063","9.641"
"46","0.554","29.019","0.193","29.843"
"47","7.191","59.910","7.235","62.018"
