"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","211","48","204","47"
"Mean","11.022","48.458","11.401","50.088"
"Median","0.583","4.270","0.598","5.107"
"Mode","0.375, 0.150","All values","0.405, 0.299","0.405"
"SD","94.861","168.304","96.428","171.267"
"Min","0.030","0.090","0.090","0.105"
"Max","1,242.664","1,015.062","1,242.259","1,015.032"
"Blank",,,,
"1","14.027","1.215","14.432","11.600"
"2","0.824","11.134","0.403","0.630"
"3","11.460","2.263","11.536","2.503"
"4","0.433","0.734","0.298","9.931"
"5","0.075","12.251","0.493","11.218"
"6","0.748","8.253","0.405","3.715"
"7","9.855","3.714","9.915","10.241"
"8","0.628","0.717","0.912","3.115"
"9","0.750","12.640","0.704","0.298"
"10","0.448","0.238","0.195","2.095"
"11","0.448","0.583","0.298","11.047"
"12","0.045","4.826","0.210","3.280"
"13","12.369","11.177","12.338","9.450"
"14","0.179","9.287","0.210","14.244"
"15","0.359","0.732","0.405","23.466"
"16","0.286","37.127","0.090","0.405"
"17","3.862","0.224","4.312","2.099"
"18","0.659","0.510","0.765","27.357"
"19","0.975","17.820","0.734","22.463"
"20","0.375","33.710","0.405","14.959"
"21","14.952","0.432","14.651","0.180"
"22","0.734","14.736","1.408","75.023"
"23","0.045","75.082","1.394","0.194"
"24","1.887","0.090","1.001","25.072"
"25","0.463","25.086","0.105","15.226"
"26","0.762","0.598","0.299","4.615"
"27","0.105","18.432","0.299","2.038"
"28","0.390","2.653","0.405","0.479"
"29","0.239","0.419","0.405","0.389"
"30","0.509","0.464","0.403","80.857"
"31","0.314","80.887","33.685","19.947"
"32","33.834","0.463","0.298","0.105"
"33","0.285","19.828","0.599","635.449"
"34","0.627","615.676","0.808","0.315"
"35","0.808","20.087","0.597","5.107"
"36","0.478","4.972","0.613","0.988"
"37","0.763","0.269","0.195","30.453"
"38","0.224","30.903","0.298","0.194"
"39","0.344","0.598","0.493","0.404"
"40","0.493","0.346","15.440","6.219"
"41","15.424","6.248","0.807","12.144"
"42","0.763","12.144","0.688","0.403"
"43","0.418","0.374","0.405","210.015"
"44","0.420","209.866","0.704","0.404"
"45","0.929","0.433","0.495","0.299"
"46","0.298","0.465","23.269","1,015.032"
"47","23.466","1,015.062","1.483","28.488"
"48","1.543","0.210","0.612",
"49","0.224",,"1.213",
"50","0.986",,"0.389",
