"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","458","159","450","159"
"Mean","7.647","21.665","7.783","22.076"
"Median","0.448","6.058","0.405","5.970"
"Mode","0.255","5.670, 5.025, 5.430, 4.995","0.300","5.745"
"SD","82.580","109.479","83.317","110.440"
"Min","0.045","1.391","0.088","0.599"
"Max","1,748.062","1,303.231","1,748.273","1,308.347"
"Blank",,,,
"1","0.390","8.805","0.493","0.599"
"2","1.047","3.248","0.928","8.149"
"3","6.759","7.642","6.835","7.268"
"4","0.644","6.058","0.704","5.728"
"5","0.420","5.591","0.314","5.978"
"6","5.500","6.188","5.440","5.859"
"7","0.270","5.667","0.300","6.201"
"8","0.256","6.259","0.301","5.453"
"9","5.171","5.634","5.126","6.043"
"10","0.270","6.069","0.195","6.535"
"11","0.119","7.516","0.209","7.305"
"12","5.603","5.670","5.574","5.129"
"13","0.268","5.730","0.703","5.895"
"14","0.374","5.969","5.156","5.879"
"15","5.171","5.669","0.210","5.655"
"16","0.225","6.060","0.210","5.759"
"17","0.210","5.445","6.274","5.565"
"18","5.885","6.059","4.944","6.074"
"19","0.149","5.385","0.299","5.265"
"20","0.210","5.669","0.405","5.564"
"21","4.944","5.370","5.337","5.549"
"22","0.314","5.219","0.509","5.325"
"23","0.390","5.655","0.088","5.775"
"24","5.307","6.014","0.209","5.834"
"25","0.314","5.775","6.555","5.745"
"26","0.478","5.865","0.405","5.775"
"27","0.118","5.954","0.209","5.669"
"28","6.494","5.340","0.299","5.745"
"29","0.300","5.730","5.565","5.340"
"30","0.405","5.354","5.039","5.189"
"31","0.194","5.324","0.314","5.895"
"32","5.549","6.450","5.579","6.150"
"33","0.120","5.025","0.315","4.649"
"34","4.980","5.114","0.209","5.114"
"35","0.239","4.933","5.460","5.055"
"36","5.760","8.025","0.299","7.979"
"37","0.149","5.474","0.194","5.640"
"38","0.284","5.205","5.144","5.669"
"39","5.400","7.574","0.405","6.974"
"40","0.435","5.025","0.210","5.040"
"41","0.090","6.345","5.099","6.449"
"42","5.159","4.963","0.359","5.294"
"43","0.254","5.430","0.195","5.340"
"44","0.375","5.639","0.104","6.344"
"45","5.115","6.435","5.055","5.835"
"46","0.209","5.894","0.300","5.414"
"47","0.359","8.939","0.209","9.870"
"48","0.150","5.970","0.300","5.430"
"49","4.754","5.804","5.175","5.790"
"50","0.450","5.430","0.209","4.875"
"51","0.314","4.995","5.040","5.159"
"52","0.120","5.850","0.194","5.894"
"53","5.250","5.743","0.299","5.429"
"54","0.224","4.604","0.210","5.009"
"55","5.069","5.069","5.069","5.055"
"56","0.240","5.115","0.210","5.444"
"57","0.210","5.909","5.129","4.709"
"58","0.284","9.210","0.300","9.840"
"59","4.799","6.809","4.919","6.990"
"60","0.435","8.970","0.314","9.404"
"61","5.145","6.329","0.495","5.954"
"62","0.270","32.564","5.069","33.615"
"63","5.024","6.660","0.405","5.970"
"64","0.210","5.682","0.420","6.528"
"65","0.495","6.349","5.025","5.439"
"66","5.129","5.889","0.405","5.420"
"67","0.254","5.512","0.299","5.769"
"68","0.585","5.558","5.039","5.620"
"69","4.979","5.381","0.300","5.349"
"70","0.344","5.978","0.525","6.532"
"71","0.270","17.963","4.949","18.366"
"72","5.099","16.658","0.300","16.074"
"73","0.224","5.615","0.194","5.473"
"74","0.689","5.490","0.509","5.250"
"75","4.890","5.310","4.560","5.115"
"76","0.240","4.979","0.300","5.069"
"77","0.299","5.580","0.405","5.550"
"78","0.495","5.070","5.145","5.100"
"79","4.664","5.204","0.389","5.054"
"80","0.180","5.085","4.949","4.815"
"81","0.360","4.500","0.300","4.723"
"82","5.219","4.663","0.254","4.634"
"83","0.269","4.995","4.590","5.009"
"84","4.965","5.009","0.509","5.745"
"85","0.269","15.855","0.405","15.269"
"86","0.360","7.500","5.115","7.516"
"87","4.635","5.625","0.300","6.043"
"88","0.239","5.444","0.359","4.950"
"89","0.659","5.131","0.539","5.099"
"90","5.025","5.278","4.860","5.040"
"91","0.254","25.776","0.210","26.026"
"92","0.510","6.677","4.439","6.331"
"93","0.599","50.317","0.299","47.740"
"94","4.724","2.185","0.405","6.124"
"95","0.224","5.930","4.304","5.121"
"96","4.439","5.123","0.420","5.110"
"97","0.270","5.721","0.299","5.615"
"98","0.390","7.384","7.379","7.324"
"99","4.378","8.090","0.405","8.215"
"100","0.359","7.677","0.195","7.544"
"101","0.285","9.029","5.129","9.028"
"102","7.034","18.073","0.405","18.418"
"103","0.599","7.709","4.634","8.220"
"104","0.435","10.080","0.405","5.834"
"105","4.364","3.584","0.210","7.545"
"106","0.690","6.465","6.659","2.699"
"107","0.449","3.210","0.405","6.960"
"108","4.560","6.419","0.495","5.715"
"109","0.344","4.966","4.454","6.644"
"110","0.314","17.698","0.194","17.370"
