"Row_Name","Tray #1: On","Tray #1: Off"
"N","3","3"
"Mean","1.836","1.870"
"Median","1.556","1.704"
"Mode","All values","All values"
"SD","1.299","0.712"
"Min","0.403","1.093"
"Max","3.548","2.815"
"Blank",,
"1","0.403","2.815"
"2","3.548","1.093"
"3","1.556","1.704"
