"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","337","107","329","107"
"Mean","8.168","25.992","8.367","26.050"
"Median","0.449","5.424","0.492","5.016"
"Mode","0.375","0.419, 0.269","0.404","2.006"
"SD","86.007","102.595","87.022","102.464"
"Min","0.074","0.120","0.045","0.105"
"Max","1,547.189","996.085","1,546.936","995.319"
"Blank",,,,
"1","0.224","2.995","0.299","5.016"
"2","16.027","14.665","15.997","15.788"
"3","0.120","2.440","0.089","1.003"
"4","0.283","14.254","0.507","13.429"
"5","0.568","14.567","0.599","13.548"
"6","13.414","9.256","13.236","13.226"
"7","0.180","0.283","0.195","1.091"
"8","0.283","2.786","0.298","4.122"
"9","0.405","5.424","0.509","13.134"
"10","14.012","17.461","13.832","17.244"
"11","0.225","13.332","0.301","4.609"
"12","0.418","1.872","0.403","3.311"
"13","11.787","8.362","11.924","6.908"
"14","0.331","19.184","0.209","29.194"
"15","0.209","13.139","0.164","2.500"
"16","3.792","6.834","3.941","7.629"
"17","0.298","1.394","0.210","4.822"
"18","0.270","9.406","0.299","8.009"
"19","0.479","12.594","0.405","20.871"
"20","0.329","13.742","0.388","2.474"
"21","13.685","5.603","13.641","5.528"
"22","0.344","1.873","0.298","6.229"
"23","0.194","12.385","0.209","8.028"
"24","0.179","6.200","0.299","7.312"
"25","0.359","5.469","0.495","4.494"
"26","0.435","0.673","0.299","0.597"
"27","0.420","0.778","0.403","0.810"
"28","0.477","11.370","0.404","11.324"
"29","0.495","0.180","0.598","0.209"
"30","0.343","0.298","0.511","0.299"
"31","0.765","2.487","0.492","4.915"
"32","12.286","3.491","12.331","1.063"
"33","0.478","0.750","0.598","1.483"
"34","0.463","1.242","0.403","1.168"
"35","6.953","1.213","7.013","0.599"
"36","0.375","0.495","0.195","2.592"
"37","0.254","10.782","0.299","20.794"
"38","0.240","25.097","0.194","13.632"
"39","0.375","3.203","0.404","2.799"
"40","0.403","0.418","0.403","1.705"
"41","0.269","30.456","0.298","42.752"
"42","0.509","28.351","0.405","14.410"
"43","0.717","21.807","1.002","33.115"
"44","3.463","24.473","3.119","13.194"
"45","15.497","0.120","15.647","0.149"
"46","0.373","7.668","0.389","11.444"
"47","15.132","23.574","15.146","20.069"
"48","0.359","0.855","0.299","1.588"
"49","0.344","4.509","0.405","3.608"
"50","0.449","0.253","0.405","0.300"
"51","0.300","6.891","0.313","9.841"
"52","2.907","17.211","3.087","14.903"
"53","0.389","1.767","0.105","2.246"
"54","0.134","1.677","0.193","2.005"
"55","17.208","1.900","17.641","0.298"
"56","1.332","3.725","1.110","4.117"
"57","0.375","0.718","0.405","0.807"
"58","0.420","1.017","0.194","0.598"
"59","0.373","0.539","0.403","1.290"
"60","1.302","30.364","1.229","31.280"
"61","0.210","6.641","0.269","20.792"
"62","0.240","29.957","0.298","14.858"
"63","0.748","9.466","1.305","8.702"
"64","0.870","1.198","0.299","1.692"
"65","0.373","10.316","0.300","9.763"
"66","15.090","13.640","15.165","14.406"
"67","0.314","9.928","0.194","9.926"
"68","0.210","1.451","0.254","1.915"
"69","0.420","7.159","0.555","8.824"
