"Row_Name","Tray #1: On","Tray #1: Off"
"N","9","9"
"Mean","328.226","328.198"
"Median","41.412","42.103"
"Mode","All values","All values"
"SD","549.524","549.676"
"Min","0.119","0.104"
"Max","1,714.678","1,714.903"
"Blank",,
"1","41.412","42.103"
"2","69.967","69.006"
"3","314.240","314.674"
"4","801.145","801.384"
"5","6.905","6.008"
"6","0.119","0.104"
"7","5.003","5.304"
"8","0.569","0.298"
"9","1,714.678","1,714.903"
