"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off"
"217","10.805",,"11.211"
"218","0.614",,"0.225"
"219","0.149",,"0.194"
"220","0.209",,"0.088"
"221","0.165",,"0.209"
"222","0.163",,"0.765"
"223","0.795",,"0.375"
"224","0.331",,"0.104"
"225","0.194",,"0.285"
"226","0.343",,"0.224"
"227","0.045",,"0.076"
"228","12.529",,"12.858"
"229","0.435",,"0.300"
"230","0.495",,"0.494"
"231","11.191",,"11.507"
"232","0.793",,"0.328"
"233","0.300",,"0.329"
"234","0.240",,"0.134"
"235","0.358",,"0.360"
"236","13.240",,"13.540"
"237","30.822",,"30.823"
"238","0.405",,"0.134"
"239","0.119",,"0.240"
"240","12.873",,"12.737"
"241","0.299",,"0.585"
"242","0.735",,"0.583"
"243","0.194",,"0.150"
"244","0.195",,"0.091"
"245","0.089",,"0.418"
"246","0.495",,"0.675"
"247","0.870",,"0.389"
"248","9.744",,"10.209"
"249","0.615",,"1.110"
"250","1.079",,"0.269"
"251","0.300",,"0.494"
"252","0.463",,"0.164"
"253","0.134",,"0.283"
"254","0.418",,"0.225"
"255","16.353",,"17.039"
"256","0.777",,"0.269"
"257","0.374",,"0.224"
"258","0.269",,"0.284"
"259","0.120",,"0.240"
"260","0.271",,"0.465"
"261","0.433",,"0.164"
"262","0.225",,"0.239"
"263","0.283",,"0.178"
"264","0.134",,"0.150"
"265","0.194",,"0.299"
"266","0.360",,"0.284"
"267","14.042",,"14.760"
"268","0.899",,"0.615"
"269","0.553",,"0.375"
"270","0.389",,"0.345"
"271","0.330",,"0.313"
"272","0.328",,"0.375"
"273","0.525",,"0.435"
"274","0.404",,"0.359"
"275","0.404",,"0.269"
"276","0.163",,"0.285"
"277","0.465",,"0.390"
"278","13.548",,"14.086"
"279","0.704",,"0.224"
"280","0.223",,"0.358"
"281","0.360",,"0.271"
"282","0.345",,"0.164"
"283","0.208",,"0.464"
"284","0.345",,"0.314"
"285","0.269",,"0.149"
"286","0.239",,"0.240"
"287","0.211",,"0.135"
"288","11.720",,"12.259"
"289","0.674",,"0.433"
"290","0.464",,"0.270"
"291","0.253",,"0.300"
"292","0.270",,"0.165"
"293","0.194",,"0.149"
"294","0.075",,"0.120"
"295","0.270",,"0.344"
"296","0.299",,"0.375"
"297","0.463",,"0.329"
"298","8.706",,"9.124"
"299","0.597",,"0.345"
"300","0.301",,"0.255"
