"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","210","46","203","46"
"Mean","13.156","38.535","13.613","38.538"
"Median","0.748","11.669","0.809","12.402"
"Mode","0.165","0.120","0.195","All values"
"SD","72.202","116.429","73.339","115.953"
"Min","0.044","0.120","0.104","0.090"
"Max","860.864","769.159","860.507","768.169"
"Blank",,,,
"1","0.329","2.023","0.314","10.411"
"2","16.599","14.980","0.210","5.378"
"3","0.105","1.076","16.585","12.883"
"4","18.573","12.059","0.403","1.960"
"5","0.179","1.990","18.349","1.707"
"6","0.911","4.507","0.792","3.204"
"7","15.428","0.672","0.298","12.972"
"8","0.343","15.144","15.396","4.417"
"9","4.777","10.214","0.494","22.275"
"10","0.179","18.397","4.582","7.909"
"11","0.495","7.940","0.524","15.744"
"12","4.356","20.954","1.811","21.342"
"13","0.419","12.819","2.905","1.603"
"14","0.150","10.799","0.179","11.921"
"15","15.923","7.665","0.314","6.795"
"16","1.304","15.299","16.973","28.468"
"17","0.644","13.842","0.629","0.704"
"18","7.926","63.759","0.870","78.301"
"19","0.136","15.275","7.222","0.194"
"20","0.209","13.213","0.104","13.228"
"21","13.253","19.959","0.299","20.843"
"22","0.254","11.280","13.224","25.945"
"23","0.673","51.915","0.597","37.354"
"24","0.540","21.051","0.704","21.036"
"25","0.493","6.158","0.194","21.631"
"26","0.179","181.859","0.404","165.636"
"27","0.255","7.997","0.224","8.418"
"28","4.823","222.066","0.884","223.967"
"29","0.194","7.792","4.194","5.529"
"30","0.165","32.650","0.210","32.591"
"31","0.194","0.495","0.194","0.703"
"32","18.585","0.793","0.194","3.936"
"33","2.905","25.408","19.528","23.356"
"34","0.570","20.745","1.901","22.441"
"35","1.031","3.672","0.706","5.102"
"36","0.210","5.027","0.896","2.413"
"37","0.044","58.198","0.194","56.728"
"38","0.209","16.439","0.403","17.636"
"39","7.533","2.034","7.712","2.007"
"40","2.784","2.007","2.516","0.209"
"41","8.930","0.120","8.914","0.090"
"42","0.195","0.120","0.705","0.315"
"43","0.689","5.033","0.599","5.932"
"44","0.853","769.159","0.492","768.169"
"45","0.344","0.943","0.300","23.233"
"46","1.424","37.050","1.468","16.111"
"47","0.253",,"0.240",
"48","31.698",,"32.400",
"49","0.194",,"1.692",
"50","2.231",,"0.405",
"51","0.223",,"0.194",
"52","0.495",,"5.318",
"53","0.314",,"1.600",
"54","6.603",,"2.500",
"55","2.094",,"0.299",
"56","0.630",,"1.439",
"57","0.149",,"16.750",
"58","0.480",,"0.298",
"59","17.468",,"3.311",
"60","0.359",,"0.210",
"61","0.209",,"1.091",
"62","3.445",,"1.301",
"63","0.538",,"8.504",
"64","1.137",,"0.299",
"65","9.117",,"0.193",
"66","0.165",,"20.728",
"67","0.343",,"0.809",
"68","20.665",,"0.300",
"69","0.884",,"0.793",
"70","0.194",,"0.298",
"71","0.256",,"0.704",
