"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","512","31","513","30"
"Mean","6.553","13.122","6.540","13.171"
"Median","0.359","11.002","0.315","10.779"
"Mode","0.270","All values","0.195, 0.105, 0.194","All values"
"SD","42.867","9.508","42.866","10.444"
"Min","0.030","2.516","0.030","2.468"
"Max","617.274","61.270","617.889","64.788"
"Blank",,,,
"1","0.509","10.861","0.510","11.234"
"2","0.344","10.700","0.133","10.237"
"3","10.084","11.568","10.175","25.463"
"4","0.524","24.639","0.507","10.925"
"5","0.224","10.476","0.195","10.387"
"6","0.150","11.028","0.118","10.634"
"7","10.278","10.487","10.428","9.213"
"8","0.329","11.012","0.271","13.727"
"9","10.011","13.396","9.904","12.778"
"10","0.059","12.733","0.270","11.416"
"11","0.359","12.659","0.164","19.525"
"12","0.270","14.851","0.240","7.967"
"13","0.073","12.147","0.238","12.959"
"14","0.240","10.502","0.090","9.490"
"15","0.090","11.002","0.208","11.897"
"16","0.238","10.954","0.225","9.549"
"17","0.286","10.912","0.225","12.843"
"18","11.826","11.212","11.963","8.545"
"19","0.359","10.103","0.658","12.026"
"20","0.585","8.401","0.091","9.400"
"21","11.058","11.329","11.268","8.026"
"22","0.420","10.260","0.269","13.896"
"23","0.313","9.733","0.298","7.293"
"24","10.070","10.003","10.205","9.822"
"25","0.269","7.112","0.179","8.047"
"26","0.149","12.853","0.180","15.276"
"27","10.043","12.161","10.087","2.468"
"28","0.253","2.516","0.284","7.398"
"29","0.688","9.177","0.537","64.788"
"30","9.664","61.270","9.739","17.912"
"31","0.269","20.713","0.164",
"32","0.104",,"0.194",
"33","0.374",,"0.358",
"34","0.209",,"0.134",
"35","8.512",,"8.512",
"36","0.074",,"0.286",
"37","0.344",,"0.194",
"38","0.181",,"0.195",
"39","0.253",,"0.194",
"40","0.090",,"0.644",
"41","0.689",,"0.253",
"42","0.328",,"0.225",
"43","0.209",,"0.194",
"44","0.224",,"0.269",
"45","11.207",,"11.132",
"46","0.061",,"0.269",
"47","0.328",,"0.150",
"48","0.165",,"0.164",
"49","0.164",,"0.165",
"50","0.271",,"0.493",
"51","0.343",,"0.314",
"52","0.344",,"0.390",
"53","0.450",,"0.270",
"54","10.456",,"10.396",
"55","0.134",,"0.104",
"56","0.553",,"0.853",
