"Row_Name","Tray #1: On","Tray #1: Off"
"N","4","4"
"Mean","179.734","179.775"
"Median","4.382","4.809"
"Mode","All values","All values"
"SD","306.109","305.609"
"Min","0.269","0.389"
"Max","709.904","709.094"
"Blank",,
"1","0.720","3.117"
"2","8.045","6.501"
"3","709.904","709.094"
"4","0.269","0.389"
