"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","764","228","761","228"
"Mean","3.631","12.167","3.646","12.179"
"Median","0.404","6.048","0.373","5.997"
"Mode","0.284","5.034","0.195, 0.135","5.663, 5.274, 0.135, 0.180"
"SD","39.803","53.963","39.871","53.918"
"Min","0.029","0.134","0.059","0.134"
"Max","1,089.354","744.659","1,088.965","744.509"
"Blank",,,,
"1","0.449","5.673","0.403","5.739"
"2","0.209","5.649","0.179","5.646"
"3","4.834","6.113","5.149","5.718"
"4","0.434","6.300","0.209","6.605"
"5","0.328","5.842","0.284","7.160"
"6","4.962","6.966","5.200","5.740"
"7","0.389","6.291","0.254","5.881"
"8","0.253","5.718","0.195","6.512"
"9","5.048","6.528","5.181","5.829"
"10","0.359","5.945","0.705","5.825"
"11","0.675","5.948","0.208","6.588"
"12","4.730","6.376","5.419","5.703"
"13","1.211","5.719","0.673","5.780"
"14","0.358","5.897","0.134","6.271"
"15","0.150","6.945","0.089","6.469"
"16","4.838","6.683","5.212","8.340"
"17","0.285","7.648","0.299","6.200"
"18","0.223","5.541","0.134","5.515"
"19","0.268","5.484","0.195","4.823"
"20","0.165","5.394","6.517","6.203"
"21","6.291","5.781","0.178","5.358"
"22","0.374","5.658","0.196","6.078"
"23","0.225","6.364","5.318","6.426"
"24","5.080","6.453","0.434","7.007"
"25","0.404","6.723","0.149","5.751"
"26","0.403","5.409","0.448","4.987"
"27","0.210","5.391","4.536","5.498"
"28","4.880","4.885","0.478","5.054"
"29","0.045","5.394","0.298","5.632"
"30","0.478","5.975","0.164","5.346"
"31","0.388","4.706","0.194","4.961"
"32","0.209","5.033","5.780","5.074"
"33","5.448","5.569","0.583","5.438"
"34","0.405","5.033","0.164","5.330"
"35","0.600","5.616","4.899","5.960"
"36","4.734","5.569","0.404","5.238"
"37","0.344","5.250","0.223","5.705"
"38","0.359","6.141","0.179","5.521"
"39","0.268","5.133","0.284","5.391"
"40","0.223","5.435","5.138","6.347"
"41","4.584","6.963","0.194","6.396"
"42","0.840","6.139","0.285","6.572"
"43","0.314","6.557","0.283","6.262"
"44","0.105","6.415","5.584","5.811"
"45","5.537","5.673","0.612","6.351"
"46","0.298","6.262","0.239","5.663"
"47","0.674","6.144","4.866","5.676"
"48","4.640","5.242","0.359","6.725"
"49","0.405","6.638","0.239","5.274"
"50","0.359","4.986","0.105","4.688"
"51","0.269","4.596","0.105","5.312"
"52","0.103","5.880","4.849","10.949"
"53","4.582","11.625","0.373","7.142"
"54","0.388","6.662","0.134","5.807"
"55","0.373","5.945","0.225","6.323"
"56","0.179","6.472","0.119","6.094"
"57","0.195","5.375","0.224","6.605"
"58","0.118","7.355","5.822","6.698"
"59","5.044","6.293","0.165","5.858"
"60","0.987","5.859","0.867","5.885"
"61","0.867","5.285","4.658","4.867"
"62","4.555","5.299","0.270","5.825"
"63","0.314","6.363","0.450","6.304"
"64","0.194","5.633","0.195","6.245"
"65","0.480","7.142","0.194","6.980"
"66","0.209","5.723","0.599","5.210"
"67","0.612","6.334","0.403","6.753"
"68","0.151","5.735","6.391","4.959"
"69","6.495","5.108","0.628","5.901"
"70","0.418","6.035","0.225","4.999"
"71","0.569","5.418","0.254","6.632"
"72","0.269","5.824","5.046","5.108"
"73","4.912","5.439","0.240","5.646"
"74","0.299","7.024","0.119","8.535"
"75","0.180","7.052","0.284","2.501"
"76","0.209","1.709","5.260","4.971"
"77","4.780","5.896","0.194","6.125"
"78","0.748","6.005","4.225","5.076"
"79","4.046","5.035","0.403","5.501"
"80","0.358","5.603","0.179","4.969"
"81","0.404","4.909","0.390","6.347"
"82","0.254","6.108","5.483","4.670"
"83","5.230","5.149","0.180","5.584"
"84","0.522","5.526","0.164","5.450"
"85","0.194","5.868","4.639","6.917"
"86","4.563","6.167","0.149","5.913"
"87","0.240","6.812","0.524","6.422"
"88","0.224","5.554","0.195","6.201"
"89","0.463","23.252","0.163","22.442"
"90","0.255","6.003","0.164","2.858"
"91","0.118","1.496","4.986","4.747"
"92","4.865","5.794","0.658","5.298"
"93","0.300","4.971","0.134","5.721"
"94","0.613","6.288","0.195","5.776"
"95","0.135","5.464","0.254","5.389"
"96","0.389","5.677","5.135","5.944"
"97","4.972","5.866","0.554","5.466"
"98","0.209","5.826","0.179","6.021"
"99","0.554","5.706","0.418","5.241"
"100","0.223","5.274","0.269","5.274"
"101","0.598","4.971","5.661","6.243"
"102","5.421","6.334","0.495","5.468"
"103","0.463","5.526","0.313","5.468"
"104","0.375","5.139","0.284","5.118"
"105","0.418","5.628","4.598","5.418"
"106","4.404","5.312","0.270","6.136"
"107","0.359","6.707","0.361","6.215"
"108","0.224","5.721","4.354","5.841"
"109","4.462","6.063","0.240","7.259"
"110","0.283","7.317","0.343","6.870"
"111","0.193","6.602","0.585","5.824"
"112","0.855","5.584","4.556","5.163"
"113","4.135","12.040","0.164","13.298"
"114","0.526","12.695","0.181","13.239"
"115","0.256","6.785","4.689","5.664"
"116","4.436","5.456","0.495","5.211"
"117","0.448","5.526","0.210","4.991"
"118","0.509","4.795","5.152","5.464"
"119","4.585","6.274","0.210","6.037"
"120","0.793","5.033","0.358","5.478"
"121","0.133","6.870","4.748","7.923"
"122","4.390","8.298","0.210","8.761"
"123","0.719","7.307","4.735","5.344"
"124","4.240","5.569","0.254","5.421"
"125","0.718","5.539","4.536","6.526"
"126","4.475","6.615","0.449","6.004"
"127","0.269","6.500","0.239","7.431"
"128","0.420","7.203","0.150","6.149"
"129","0.298","11.992","0.179","10.350"
"130","0.135","3.115","4.300","4.726"
"131","4.209","5.552","0.433","5.569"
"132","0.270","5.195","0.195","4.943"
"133","0.389","5.705","0.208","5.702"
"134","0.283","5.222","4.523","5.449"
"135","4.372","5.047","0.478","4.959"
"136","0.314","5.274","0.598","5.528"
"137","0.838","22.216","4.821","23.487"
"138","4.822","6.844","0.554","6.018"
"139","0.283","5.614","0.194","5.125"
"140","0.449","5.634","4.831","5.526"
"141","4.503","5.645","0.180","6.198"
"142","0.552","6.556","0.209","7.172"
"143","0.210","6.544","5.062","5.360"
"144","4.867","6.080","0.299","6.273"
"145","0.403","5.554","0.373","5.332"
"146","0.269","5.201","0.343","4.706"
"147","0.627","4.733","4.445","5.270"
"148","4.266","6.392","0.164","6.291"
"149","0.298","5.500","0.343","5.875"
"150","0.150","6.488","0.164","7.067"
"151","0.359","6.406","0.120","6.062"
"152","0.164","6.301","4.763","6.467"
"153","4.524","6.903","0.493","6.246"
"154","0.418","5.514","0.163","5.663"
"155","0.448","6.095","5.495","6.887"
"156","5.390","6.275","0.210","5.240"
"157","0.224","5.192","0.269","5.538"
"158","0.194","5.795","0.195","6.796"
"159","0.269","9.310","0.478","10.692"
"160","0.301","9.527","5.496","8.403"
"161","5.479","9.224","0.164","11.932"
"162","0.419","9.971","0.509","6.436"
"163","0.299","8.064","0.179","9.535"
"164","0.419","7.967","6.003","5.945"
"165","5.509","5.927","0.209","6.061"
"166","0.658","6.705","0.435","8.086"
"167","0.403","7.759","5.499","6.812"
"168","5.079","6.532","0.149","6.471"
"169","0.659","7.169","0.330","6.305"
"170","0.344","85.007","5.630","84.497"
"171","4.822","6.243","0.239","9.495"
"172","1.062","8.151","0.223","6.677"
"173","0.209","4.865","5.259","0.194"
"174","5.125","68.021","0.522","73.643"
"175","0.254","329.780","0.165","325.717"
"176","0.480","744.659","0.194","744.509"
"177","0.209","15.318","5.275","21.750"
"178","4.615","10.518","0.298","3.654"
"179","1.048","2.324","0.689","8.600"
"180","0.313","12.220","4.716","11.367"
"181","4.358","9.780","0.481","8.777"
"182","1.064","8.882","5.663","3.725"
"183","5.603","2.049","0.314","7.236"
"184","0.257","7.986","0.134","9.797"
"185","0.343","9.572","0.314","8.825"
"186","0.163","9.168","0.194","8.310"
"187","0.300","8.070","4.432","7.681"
"188","4.283","7.954","0.612","7.086"
"189","0.314","8.219","4.164","8.684"
"190","4.432","11.816","0.283","13.494"
"191","0.403","9.855","4.878","4.193"
"192","4.849","2.067","0.254","5.990"
"193","0.284","7.876","0.314","7.563"
"194","0.208","7.054","11.684","7.326"
"195","11.818","8.329","0.313","10.006"
"196","0.284","9.574","0.225","8.163"
"197","0.299","8.313","5.569","9.649"
"198","5.466","8.811","0.388","7.145"
"199","0.538","8.179","0.703","7.264"
"200","0.462","6.067","4.372","6.369"
"201","4.492","101.449","0.466","103.967"
"202","0.225","8.795","0.180","7.583"
"203","0.495","8.137","0.164","7.562"
"204","0.165","8.777","0.614","9.394"
"205","0.628","11.338","0.149","12.038"
"206","0.134","8.413","5.062","6.646"
"207","4.898","8.295","0.478","10.844"
"208","0.389","10.605","0.151","7.922"
"209","0.389","7.952","5.285","8.221"
"210","5.270","7.637","0.613","8.332"
"211","0.403","11.865","0.165","11.906"
"212","0.480","5.947","0.074","0.734"
"213","0.074","0.134","7.041","0.149"
"214","6.442","0.150","0.150","0.135"
"215","0.689","0.193","0.163","0.224"
"216","0.239","0.135","4.990","0.134"
"217","4.839","0.149","0.584","0.164"
"218","0.285","0.180","0.374","0.179"
"219","0.479","0.179","4.990","0.180"
"220","5.184","0.195","0.464","0.194"
"221","0.254","0.239","0.209","0.300"
"222","0.464","0.224","0.374","0.135"
"223","0.165","0.165","5.300","0.179"
"224","4.894","0.209","0.164","0.269"
"225","0.809","0.614","4.641","0.583"
"226","4.043","40.119","0.314","45.664"
"227","0.793","8.003","6.125","7.432"
"228","5.990","8.493","0.269","10.262"
"229","0.463",,"0.298",
"230","0.194",,"4.599",
"231","4.762",,"0.747",
"232","0.254",,"0.151",
"233","0.718",,"5.466",
"234","5.347",,"1.300",
"235","0.882",,"0.120",
"236","0.568",,"0.180",
"237","0.119",,"0.194",
"238","0.330",,"5.019",
"239","4.945",,"0.539",
"240","0.254",,"0.179",
"241","0.463",,"4.956",
"242","4.639",,"0.478",
"243","0.480",,"0.329",
"244","0.658",,"0.165",
"245","0.240",,"0.404",
"246","0.074",,"5.047",
"247","5.195",,"0.433",
"248","0.316",,"0.194",
"249","0.418",,"4.644",
"250","4.149",,"0.238",
"251","0.627",,"0.149",
"252","0.300",,"5.078",
"253","4.958",,"0.509",
"254","0.238",,"0.209",
"255","0.465",,"0.269",
"256","0.208",,"4.146",
"257","4.206",,"0.194",
"258","0.254",,"0.403",
"259","0.223",,"0.134",
"260","0.314",,"0.658",
"261","0.390",,"5.180",
"262","5.433",,"0.195",
"263","0.210",,"0.194",
"264","0.209",,"5.122",
"265","4.747",,"0.194",
"266","0.525",,"0.149",
"267","0.239",,"0.209",
"268","0.225",,"4.584",
"269","4.552",,"0.494",
"270","0.165",,"0.164",
"271","0.418",,"0.194",
"272","0.225",,"0.165",
"273","0.209",,"0.374",
"274","0.374",,"0.209",
"275","0.119",,"0.358",
"276","0.493",,"0.240",
"277","0.119",,"0.269",
"278","0.209",,"6.707",
"279","6.184",,"0.194",
"280","0.853",,"1.724",
"281","1.603",,"5.074",
"282","5.105",,"0.449",
"283","0.358",,"0.193",
"284","0.314",,"0.165",
"285","0.165",,"0.120",
"286","0.223",,"5.137",
"287","4.913",,"0.539",
"288","0.389",,"0.134",
"289","0.463",,"4.252",
"290","4.223",,"0.301",
"291","0.164",,"0.284",
"292","0.346",,"0.180",
"293","0.240",,"0.225",
"294","0.270",,"4.750",
"295","4.629",,"0.284",
"296","0.269",,"0.463",
"297","0.629",,"4.251",
