"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","209","22","209","22"
"Mean","15.131","89.801","15.133","90.429"
"Median","0.450","19.125","0.464","19.793"
"Mode","0.210","All values","0.300","All values"
"SD","108.298","166.723","108.341","165.191"
"Min","0.029","0.269","0.028","0.300"
"Max","1,144.561","589.314","1,144.726","613.364"
"Blank",,,,
"1","17.332","18.036","17.303","19.343"
"2","0.269","20.214","0.193","15.935"
"3","0.120","21.509","0.493","22.046"
"4","0.493","17.613","0.105","4.995"
"5","19.328","2.941","19.328","20.244"
"6","0.494","22.820","0.509","8.727"
"7","15.094","5.864","15.140","2.638"
"8","0.286","11.709","0.300","28.069"
"9","0.374","31.174","0.405","14.710"
"10","4.717","25.655","4.702","50.932"
"11","0.750","26.538","0.719","1.019"
"12","0.660","7.512","0.705","7.198"
"13","14.328","0.269","14.418","0.300"
"14","0.391","230.473","0.299","232.226"
"15","0.343","4.723","0.301","6.105"
"16","0.480","11.622","0.463","12.132"
"17","0.329","9.206","0.346","32.267"
"18","3.722","46.548","3.960","45.128"
"19","0.509","366.194","0.299","343.683"
"20","0.195","589.314","0.120","613.364"
"21","20.796","497.349","20.840","471.226"
"22","0.405","8.347","0.405","37.160"
"23","0.569",,"0.615",
"24","0.285",,"0.298",
"25","0.328",,"0.300",
"26","0.209",,"0.509",
"27","10.978",,"10.753",
"28","1.498",,"2.024",
"29","0.959",,"4.046",
"30","3.944",,"0.300",
"31","0.194",,"0.210",
"32","0.359",,"0.298",
"33","47.233",,"47.683",
"34","0.718",,"0.493",
"35","1.123",,"1.020",
"36","0.391",,"0.195",
"37","0.209",,"0.298",
"38","0.286",,"0.810",
"39","1.258",,"0.705",
"40","0.405",,"0.405",
"41","1.048",,"1.603",
"42","1.710",,"1.125",
"43","0.329",,"0.299",
"44","0.075",,"0.104",
"45","0.479",,"0.615",
"46","0.810",,"1.125",
"47","0.734",,"0.403",
"48","267.927",,"269.352",
"49","7.005",,"5.609",
"50","0.359",,"0.509",
"51","0.899",,"1.394",
"52","1.544",,"1.215",
"53","0.630",,"0.194",
"54","0.178",,"0.194",
"55","0.314",,"0.299",
"56","0.194",,"0.300",
"57","0.345",,"0.705",
"58","0.569",,"0.089",
"59","0.149",,"1.214",
"60","7.766",,"6.701",
"61","0.285",,"0.900",
"62","0.764",,"0.209",
"63","0.720",,"0.689",
"64","0.314",,"0.300",
"65","0.330",,"0.271",
"66","32.044",,"32.118",
"67","0.584",,"0.795",
"68","0.420",,"0.405",
"69","0.419",,"0.405",
"70","1.861",,"1.590",
"71","1.574",,"1.605",
"72","0.509",,"0.599",
"73","0.391",,"0.300",
"74","0.358",,"0.343",
"75","0.360",,"0.465",
"76","0.435",,"0.329",
"77","0.419",,"0.465",
"78","0.300",,"0.404",
"79","0.359",,"0.195",
"80","0.674",,"0.703",
"81","0.750",,"0.810",
"82","0.194",,"0.389",
"83","0.389",,"0.464",
"84","0.525",,"0.240",
"85","0.344",,"0.705",
"86","0.465",,"0.105",
"87","0.404",,"0.389",
"88","0.210",,"0.299",
"89","1.379",,"1.304",
"90","0.689",,"0.703",
"91","937.989",,"938.349",
"92","0.630",,"0.390",
"93","0.449",,"0.404",
"94","0.269",,"0.194",
"95","0.600",,"0.913",
"96","0.793",,"0.495",
"97","0.450",,"0.404",
"98","0.225",,"0.194",
"99","0.389",,"0.404",
"100","0.299",,"0.390",
"101","0.255",,"0.210",
"102","0.870",,"0.899",
"103","0.329",,"0.300",
"104","0.388",,"0.298",
"105","1.289",,"1.319",
"106","2.955",,"3.090",
"107","0.314",,"0.150",
"108","0.165",,"0.374",
"109","0.315",,"0.211",
"110","0.315",,"0.298",
"111","0.389",,"0.405",
"112","0.284",,"0.598",
"113","1.365",,"0.960",
"114","0.285",,"0.525",
"115","0.359",,"0.224",
"116","0.404",,"0.300",
"117","0.240",,"0.494",
"118","1.125",,"0.914",
"119","0.090",,"0.090",
"120","0.224",,"0.599",
"121","1.380",,"1.110",
"122","0.389",,"0.299",
"123","481.903",,"482.007",
"124","0.210",,"0.195",
"125","3.629",,"3.914",
"126","0.510",,"0.388",
"127","0.568",,"0.299",
"128","0.089",,"0.210",
"129","0.255",,"0.075",
"130","0.344",,"0.525",
"131","0.270",,"0.299",
"132","0.479",,"0.285",
"133","0.780",,"1.019",
"134","0.898",,"0.703",
"135","0.809",,"0.795",
"136","0.375",,"0.899",
"137","0.600",,"0.028",
"138","0.029",,"0.076",
"139","0.793",,"0.808",
"140","0.390",,"1.289",
"141","1.049",,"0.105",
"142","0.538",,"0.600",
"143","0.315",,"1.514",
"144","1.306",,"0.090",
"145","0.254",,"0.299",
"146","0.315",,"0.299",
"147","0.164",,"0.105",
"148","3.072",,"3.116",
"149","0.269",,"0.404",
"150","0.345",,"0.210",
"151","0.644",,"0.615",
