"Row_Name","Nose_Poke #1: On","Nose_Poke #1: Off"
"N","235","236"
"Mean","10.496","10.456"
"Median","0.448","0.382"
"Mode","0.120, 0.135","0.180"
"SD","39.917","39.894"
"Min","0.028","0.030"
"Max","348.240","349.876"
"Blank",,
"1","17.046","1.527"
"2","1.004","17.600"
"3","11.846","0.149"
"4","0.104","11.817"
"5","0.165","0.089"
"6","0.195","0.224"
"7","0.028","0.118"
"8","0.029","0.045"
"9","0.089","0.120"
"10","9.854","9.823"
"11","0.090","0.300"
"12","0.329","0.268"
"13","0.314","0.195"
"14","8.783","8.783"
"15","0.283","0.268"
"16","0.075","0.119"
"17","0.239","0.119"
"18","0.164","0.119"
"19","5.557","0.568"
"20","0.240","5.258"
"21","7.441","0.149"
"22","0.119","7.410"
"23","0.255","0.150"
"24","0.194","0.284"
"25","0.448","0.239"
"26","0.075","0.284"
"27","0.045","0.090"
"28","0.090","0.075"
"29","0.507","0.358"
"30","0.554","0.659"
"31","0.584","0.269"
"32","9.792","0.612"
"33","0.329","9.867"
"34","0.270","0.195"
"35","0.119","0.149"
"36","0.299","0.135"
"37","0.090","0.269"
"38","0.044","0.074"
"39","0.375","0.105"
"40","0.449","0.704"
"41","0.119","0.118"
"42","0.209","0.180"
"43","0.314","0.179"
"44","0.135","0.269"
"45","0.073","0.120"
"46","0.314","0.283"
"47","0.030","0.075"
"48","7.492","0.375"
"49","0.269","7.162"
"50","0.239","0.209"
"51","0.104","0.105"
"52","0.660","0.209"
"53","0.164","0.299"
"54","1.588","0.435"
"55","0.119","0.554"
"56","0.284","1.198"
"57","0.118","0.149"
"58","0.359","0.284"
"59","0.269","0.194"
"60","0.135","0.419"
"61","0.149","0.195"
"62","0.538","0.150"
"63","0.119","0.074"
"64","0.075","0.523"
"65","0.134","0.149"
"66","0.284","0.045"
"67","6.469","0.329"
"68","0.449","0.149"
"69","0.299","6.575"
"70","0.164","0.298"
"71","0.060","0.330"
"72","0.179","0.118"
"73","1.649","0.164"
"74","0.328","0.254"
"75","0.090","1.738"
"76","0.780","0.074"
"77","0.135","0.765"
"78","0.254","0.135"
"79","0.420","0.299"
"80","0.299","0.195"
"81","0.209","0.269"
"82","0.165","0.433"
"83","0.044","0.180"
"84","0.344","0.239"
"85","0.165","0.194"
"86","0.570","0.495"
"87","0.164","0.314"
"88","0.060","0.090"
"89","1.362","0.090"
"90","0.090","1.332"
"91","0.103","0.135"
"92","0.299","0.104"
"93","9.442","0.284"
"94","0.463","9.667"
"95","0.448","0.224"
"96","0.853","1.076"
"97","0.344","0.299"
"98","0.554","0.780"
"99","0.240","0.180"
"100","0.509","0.149"
"101","0.448","0.854"
"102","0.165","0.044"
"103","1.617","0.555"
"104","0.478","1.301"
"105","1.724","1.245"
"106","0.150","0.974"
"107","0.179","0.134"
"108","0.599","0.644"
"109","0.105","0.105"
"110","0.164","0.164"
"111","0.165","0.105"
"112","0.030","0.120"
"113","7.446","0.180"
"114","1.272","7.896"
"115","0.300","0.717"
"116","0.538","0.600"
"117","0.464","0.373"
"118","0.193","0.283"
"119","1.991","0.764"
"120","0.897","1.542"
"121","0.780","0.837"
"122","16.968","1.139"
"123","0.763","17.192"
"124","0.134","0.209"
"125","0.569","0.525"
"126","0.343","0.120"
"127","2.128","0.687"
"128","1.198","2.788"
"129","7.546","0.883"
"130","0.283","6.872"
"131","0.808","0.972"
"132","0.584","0.164"
"133","0.194","0.614"
"134","0.150","0.180"
"135","0.030","0.044"
"136","0.913","0.898"
"137","0.286","0.104"
"138","0.103","0.300"
"139","0.030","0.030"
"140","0.433","0.299"
"141","0.343","0.403"
"142","0.433","0.149"
"143","1.378","1.498"
"144","0.704","0.793"
"145","0.194","0.329"
"146","5.272","0.104"
"147","17.558","5.258"
"148","1.199","17.783"
"149","0.599","1.170"
"150","0.194","0.478"
"151","4.899","0.120"
"152","1.138","5.887"
"153","0.957","0.239"
"154","0.493","1.153"
"155","0.329","0.312"
"156","1.032","0.360"
"157","0.778","1.062"
"158","19.307","1.183"
"159","0.526","19.129"
"160","1.229","0.223"
"161","67.605","3.985"
"162","14.785","65.208"
"163","1.243","15.490"
"164","0.612","0.478"
"165","0.044","0.179"
"166","2.007","1.392"
"167","5.540","1.931"
"168","4.014","6.709"
"169","16.079","1.826"
"170","0.060","15.855"
"171","3.247","3.217"
"172","3.461","0.179"
"173","30.697","3.880"
"174","2.665","32.718"
"175","1.063","1.094"
"176","24.702","1.915"
"177","0.074","22.890"
"178","27.377","0.673"
"179","3.650","27.483"
"180","16.100","3.187"
"181","1.290","17.031"
