"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","755","120","753","120"
"Mean","3.819","24.028","3.830","23.971"
"Median","0.329","16.990","0.299","16.524"
"Mode","0.135","All values","0.240","All values"
"SD","22.903","53.861","22.976","54.287"
"Min","0.028","1.555","0.044","1.302"
"Max","588.068","590.765","588.803","590.758"
"Blank",,,,
"1","0.582","20.767","0.628","16.823"
"2","0.285","16.612","0.238","11.698"
"3","0.104","12.357","0.091","13.157"
"4","19.704","18.336","19.674","28.365"
"5","0.628","26.393","0.643","17.280"
"6","16.044","15.856","16.358","22.441"
"7","0.403","20.764","0.268","17.544"
"8","0.285","18.816","0.285","16.651"
"9","11.264","16.320","11.143","19.233"
"10","0.223","18.518","0.450","13.540"
"11","0.494","15.430","0.254","18.383"
"12","0.390","16.944","0.344","14.578"
"13","0.209","14.966","0.194","16.129"
"14","11.854","15.935","12.228","16.986"
"15","0.448","18.483","0.463","19.166"
"16","0.478","18.971","0.403","20.384"
"17","0.583","19.306","0.269","14.298"
"18","0.209","13.801","0.388","13.515"
"19","0.254","13.875","0.194","9.003"
"20","0.418","9.533","0.359","19.545"
"21","0.478","22.352","0.478","7.197"
"22","0.180","1.555","0.179","12.100"
"23","0.149","13.557","0.195","13.931"
"24","0.329","16.082","0.417","21.711"
"25","0.253","22.536","0.060","19.475"
"26","0.195","20.271","0.478","18.903"
"27","0.433","17.103","0.240","15.788"
"28","0.314","15.775","0.253","17.506"
"29","0.344","17.945","0.375","14.777"
"30","0.238","13.636","0.269","14.122"
"31","0.165","14.573","0.299","14.543"
"32","0.388","13.777","0.644","12.492"
"33","0.704","13.244","0.209","15.308"
"34","25.735","15.444","25.840","13.814"
"35","0.419","13.783","0.554","14.112"
"36","12.964","13.405","12.858","10.780"
"37","0.344","11.065","0.451","11.951"
"38","0.674","9.645","1.048","10.498"
"39","0.703","130.005","0.103","137.464"
"40","0.091","18.510","0.210","14.634"
"41","0.194","15.728","0.239","16.548"
"42","0.254","17.118","0.090","22.599"
"43","0.058","22.992","0.313","20.102"
"44","0.344","19.169","0.135","16.843"
"45","0.149","17.845","0.224","15.622"
"46","20.615","15.850","20.555","17.040"
"47","0.194","16.774","0.283","17.498"
"48","16.764","17.401","16.616","12.581"
"49","0.286","13.436","0.284","18.333"
"50","0.731","17.226","0.867","14.389"
"51","0.180","15.076","0.150","15.634"
"52","0.254","14.917","0.313","16.501"
"53","0.254","16.021","0.164","12.236"
"54","0.373","13.872","0.373","15.418"
"55","14.330","14.367","14.689","13.432"
"56","0.569","12.413","0.493","9.811"
"57","0.552","10.475","0.194","12.088"
"58","0.044","12.864","0.150","9.974"
"59","0.313","11.260","0.253","14.570"
"60","0.554","12.177","0.493","11.220"
"61","18.052","11.546","18.113","10.709"
"62","0.286","11.070","0.284","13.422"
"63","0.179","37.042","0.164","43.795"
"64","12.564","18.961","13.180","17.240"
"65","0.840","17.046","0.419","13.063"
"66","0.030","31.158","0.914","37.630"
"67","0.284","19.584","0.270","12.720"
"68","0.959","12.789","0.299","19.176"
"69","0.405","20.731","0.210","17.879"
"70","0.224","15.246","15.310","12.957"
"71","15.310","14.456","14.683","11.028"
"72","14.564","41.538","0.314","48.164"
"73","0.405","18.749","0.402","16.851"
"74","0.388","18.215","0.632","23.686"
"75","0.329","23.788","0.313","14.286"
"76","0.526","13.826","0.195","28.463"
"77","0.344","28.115","0.223","13.089"
"78","0.223","13.196","14.811","17.209"
"79","14.765","16.492","0.283","17.392"
"80","0.224","18.212","0.283","18.471"
"81","0.269","18.155","15.580","15.259"
"82","15.640","16.461","1.346","16.596"
"83","0.942","15.559","0.210","18.336"
"84","0.538","18.202","0.224","13.446"
"85","0.255","13.882","0.329","14.007"
"86","0.224","10.814","0.240","4.431"
"87","0.329","67.981","0.269","86.149"
"88","0.298","590.765","0.463","590.758"
"89","0.254","23.130","0.134","24.644"
"90","0.358","27.208","0.120","6.514"
"91","0.164","3.293","0.165","20.413"
"92","0.104","22.433","16.288","21.657"
"93","16.170","22.483","0.165","20.474"
"94","0.270","26.152","0.314","25.280"
"95","0.269","18.329","0.329","16.052"
"96","0.420","16.920","0.314","13.500"
"97","0.164","20.157","0.060","26.046"
"98","0.284","19.090","1.062","17.853"
"99","0.134","20.250","0.225","19.237"
"100","1.079","17.623","0.089","20.304"
"101","0.149","20.014","17.836","12.550"
"102","17.821","13.315","1.288","17.659"
"103","0.914","18.046","0.285","18.179"
"104","0.539","17.027","12.708","17.271"
"105","12.783","16.884","0.239","18.706"
"106","0.209","19.420","0.299","15.724"
"107","0.210","14.425","0.194","12.002"
"108","0.375","67.612","12.587","73.396"
"109","12.512","20.527","8.661","7.114"
"110","8.630","1.961","0.060","1.302"
"111","0.165","2.036","0.794","15.305"
"112","0.704","17.341","0.569","22.453"
"113","0.329","21.317","0.195","15.588"
"114","0.435","17.563","0.300","17.190"
"115","0.375","15.829","0.254","18.686"
"116","0.240","18.697","0.329","19.005"
"117","0.269","75.055","21.874","75.280"
"118","21.874","19.230","2.036","17.476"
"119","1.974","16.954","12.504","16.045"
"120","12.372","16.192","0.719","15.166"
"121","0.374",,"0.165",
"122","0.689",,"0.180",
"123","0.164",,"12.670",
"124","12.746",,"0.343",
"125","0.253",,"0.418",
"126","0.285",,"0.164",
"127","0.403",,"0.314",
"128","0.163",,"0.747",
"129","0.254",,"0.329",
"130","0.733",,"0.120",
"131","0.360",,"0.314",
"132","0.089",,"0.194",
"133","0.449",,"0.149",
"134","0.105",,"0.194",
"135","0.194",,"18.942",
"136","18.896",,"0.209",
"137","0.210",,"0.703",
"138","0.283",,"0.271",
"139","0.644",,"0.058",
"140","0.209",,"0.538",
"141","0.074",,"0.194",
"142","0.569",,"0.733",
"143","0.658",,"0.179",
"144","0.283",,"0.211",
"145","0.164",,"0.313",
"146","0.330",,"0.283",
"147","0.298",,"17.618",
"148","17.514",,"0.149",
"149","0.223",,"0.403",
"150","0.180",,"0.105",
"151","0.403",,"0.210",
"152","0.089",,"0.345",
"153","0.331",,"0.074",
"154","0.209",,"0.375",
"155","0.149",,"0.271",
"156","0.391",,"0.328",
"157","0.314",,"0.254",
"158","0.194",,"13.750",
"159","13.928",,"0.179",
"160","0.180",,"0.808",
"161","0.538",,"0.584",
"162","0.359",,"0.074",
"163","0.553",,"0.374",
"164","0.165",,"0.209",
"165","0.343",,"0.389",
"166","0.300",,"0.240",
"167","0.329",,"0.179",
"168","0.269",,"0.329",
"169","0.254",,"13.512",
"170","13.451",,"0.103",
"171","0.254",,"0.285",
"172","0.044",,"0.704",
"173","0.300",,"0.060",
"174","0.704",,"0.225",
"175","0.074",,"0.313",
"176","0.330",,"0.194",
"177","0.328",,"0.194",
"178","0.195",,"0.120",
"179","0.074",,"15.083",
"180","15.067",,"0.897",
"181","0.194",,"0.285",
"182","0.838",,"0.314",
"183","0.360",,"0.329",
"184","0.328",,"0.555",
"185","0.210",,"0.329",
"186","0.721",,"0.285",
"187","0.300",,"11.327",
"188","11.402",,"0.855",
"189","0.870",,"0.269",
"190","0.149",,"0.254",
"191","0.195",,"0.314",
"192","0.344",,"0.240",
"193","0.403",,"0.253",
"194","0.209",,"11.801",
"195","11.786",,"0.134",
"196","0.164",,"1.048",
"197","0.824",,"0.240",
"198","0.403",,"0.120",
"199","0.194",,"0.360",
"200","0.105",,"0.329",
"201","0.435",,"0.119",
"202","0.269",,"0.315",
"203","0.254",,"0.149",
"204","0.209",,"12.309",
"205","12.235",,"0.283",
"206","0.225",,"0.418",
"207","0.224",,"0.254",
"208","0.508",,"0.239",
"209","0.255",,"0.374",
"210","0.223",,"10.503",
"211","10.741",,"0.448",
"212","0.135",,"0.330",
"213","0.463",,"0.224",
"214","0.375",,"0.466",
"215","0.211",,"0.403",
"216","0.375",,"0.314",
"217","0.433",,"0.223",
"218","0.314",,"0.285",
"219","0.269",,"12.776",
"220","12.430",,"0.388",
"221","0.584",,"0.343",
"222","0.524",,"0.768",
"223","0.208",,"0.269",
"224","0.782",,"0.225",
"225","0.225",,"0.044",
"226","0.179",,"0.135",
"227","0.134",,"0.134",
"228","0.030",,"0.269",
"229","0.343",,"0.163",
"230","0.178",,"11.055",
"231","10.801",,"0.224",
"232","0.403",,"0.359",
"233","0.120",,"0.358",
"234","0.433",,"0.389",
"235","0.389",,"0.359",
"236","0.479",,"0.164",
"237","0.270",,"0.181",
"238","0.210",,"0.392",
"239","0.090",,"0.193",
"240","0.466",,"11.606",
"241","11.517",,"0.839",
"242","0.613",,"0.480",
"243","0.465",,"0.209",
"244","0.479",,"0.330",
"245","0.285",,"8.668",
"246","8.608",,"0.644",
"247","0.405",,"0.479",
"248","0.522",,"0.208",
"249","0.509",,"0.299",
"250","0.210",,"0.180",
"251","0.225",,"0.178",
"252","0.269",,"0.284",
"253","0.314",,"9.541",
"254","9.512",,"0.135",
"255","0.179",,"129.673",
"256","129.658",,"0.449",
"257","0.300",,"18.031",
