"Row_Name","Nose_Poke #1: On","Nose_Poke #1: Off"
"N","609","609"
"Mean","4.304","4.303"
"Median","0.538","0.509"
"Mode","0.270","0.375"
"SD","12.311","12.360"
"Min","0.030","0.028"
"Max","255.375","255.496"
"Blank",,
"1","0.643","1.243"
"2","25.335","24.737"
"3","0.691","0.629"
"4","3.536","4.225"
"5","0.957","0.209"
"6","0.283","0.225"
"7","0.255","0.478"
"8","3.533","3.875"
"9","15.584","16.800"
"10","1.977","0.088"
"11","0.135","0.330"
"12","0.374","0.389"
"13","0.344","0.390"
"14","0.375","0.449"
"15","3.533","4.702"
"16","1.557","0.149"
"17","1.497","1.751"
"18","0.465","0.704"
"19","0.763","2.200"
"20","2.784","1.108"
"21","24.084","23.979"
"22","0.719","0.659"
"23","0.418","0.480"
"24","15.760","15.804"
"25","0.390","0.225"
"26","0.209","0.388"
"27","15.190","14.950"
"28","0.150","0.403"
"29","0.612","0.419"
"30","0.284","0.313"
"31","0.253","0.389"
"32","12.646","12.467"
"33","0.448","0.658"
"34","0.360","0.179"
"35","0.240","0.180"
"36","0.224","0.435"
"37","16.887","17.502"
"38","1.034","0.210"
"39","0.313","0.328"
"40","0.449","0.599"
"41","0.373","0.464"
"42","17.099","16.918"
"43","0.373","0.689"
"44","0.568","0.419"
"45","0.420","0.615"
"46","24.110","24.650"
"47","1.215","0.224"
"48","0.508","0.688"
"49","14.566","14.942"
"50","4.026","3.530"
"51","21.902","23.207"
"52","1.499","0.853"
"53","1.497","0.943"
"54","14.724","15.743"
"55","1.872","0.823"
"56","0.358","0.343"
"57","0.478","0.688"
"58","19.641","20.105"
"59","1.497","0.899"
"60","11.930","11.751"
"61","0.120","0.810"
"62","0.839","0.839"
"63","0.974","0.314"
"64","0.314","0.569"
"65","11.187","11.621"
"66","0.868","0.345"
"67","0.526","0.540"
"68","0.434","0.346"
"69","0.329","0.718"
"70","0.809","0.448"
"71","15.359","15.510"
"72","0.420","0.224"
"73","0.480","0.389"
"74","0.209","0.435"
"75","17.115","17.655"
"76","1.064","0.300"
"77","0.449","0.568"
"78","0.419","0.600"
"79","12.787","12.740"
"80","0.463","0.209"
"81","11.314","11.420"
"82","0.343","0.179"
"83","0.134","0.194"
"84","0.225","0.314"
"85","0.343","0.598"
"86","14.012","14.043"
"87","0.750","0.403"
"88","0.284","0.449"
"89","12.604","13.667"
"90","1.663","0.375"
"91","0.359","0.419"
"92","13.924","14.194"
"93","0.509","0.239"
"94","0.389","0.404"
"95","12.766","12.872"
"96","0.373","0.223"
"97","0.225","0.375"
"98","0.389","0.627"
"99","13.978","13.860"
"100","0.584","0.314"
"101","0.150","0.149"
"102","0.358","0.283"
"103","0.238","0.703"
"104","12.069","11.634"
"105","0.239","0.209"
"106","0.373","0.554"
"107","0.285","0.957"
"108","1.151","0.418"
"109","0.223","0.509"
"110","14.851","14.836"
"111","0.689","0.418"
"112","0.298","0.673"
"113","0.643","0.523"
"114","14.548","14.637"
"115","0.598","0.359"
"116","0.373","0.194"
"117","0.120","0.134"
"118","0.195","0.283"
"119","0.269","0.464"
"120","12.676","12.737"
"121","0.629","0.419"
"122","0.418","0.299"
"123","0.432","0.597"
"124","11.149","11.330"
"125","0.690","0.254"
"126","0.059","0.133"
"127","0.298","0.466"
