"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","367","154","362","152"
"Mean","9.597","22.863","9.729","23.117"
"Median","0.495","14.285","0.509","14.435"
"Mode","0.269","All values","0.300","0.105"
"SD","33.083","46.656","33.215","47.138"
"Min","0.029","0.195","0.044","0.090"
"Max","448.523","449.378","446.171","438.788"
"Blank",,,,
"1","0.359","21.330","0.193","5.719"
"2","0.583","0.283","0.493","14.428"
"3","0.255","18.171","0.315","4.103"
"4","19.548","0.554","19.847","13.530"
"5","0.554","17.604","0.193","18.834"
"6","0.178","14.551","0.195","0.210"
"7","18.846","6.379","18.846","20.242"
"8","0.689","14.238","1.094","0.299"
"9","16.631","4.462","16.225","18.545"
"10","0.778","18.173","0.809","15.054"
"11","0.868","14.500","1.108","15.323"
"12","20.540","15.532","20.540","12.521"
"13","0.120","12.177","0.044","12.025"
"14","0.208","13.116","18.192","4.507"
"15","18.117","0.705","0.209","9.948"
"16","0.225","14.967","0.314","16.849"
"17","0.373","14.313","16.718","13.649"
"18","16.720","13.543","1.215","12.626"
"19","0.599","10.157","0.090","0.598"
"20","0.674","3.666","0.104","14.134"
"21","0.105","14.554","14.154","4.102"
"22","14.004","0.644","0.300","12.343"
"23","0.283","16.383","0.195","14.920"
"24","0.241","10.341","14.107","0.105"
"25","14.198","5.424","0.449","17.435"
"26","0.508","18.680","0.659","17.067"
"27","0.313","15.507","0.599","14.951"
"28","0.600","15.652","11.727","14.937"
"29","12.027","13.814","11.831","14.856"
"30","11.876","13.689","0.598","13.122"
"31","0.598","14.079","0.118","13.639"
"32","0.120","14.777","0.375","18.250"
"33","0.283","19.139","12.867","6.519"
"34","12.764","0.195","0.704","11.413"
"35","0.328","16.130","15.936","15.730"
"36","16.445","19.677","0.507","14.820"
"37","0.554","10.472","0.300","11.428"
"38","0.268","14.919","12.435","18.338"
"39","12.390","14.081","0.314","12.329"
"40","0.375","11.956","1.091","11.743"
"41","0.554","11.356","12.611","11.207"
"42","13.163","11.680","0.718","12.524"
"43","0.689","12.105","0.044","9.538"
"44","0.089","11.274","13.671","14.234"
"45","13.597","13.067","0.612","11.924"
"46","0.479","12.690","0.090","13.033"
"47","0.253","17.074","16.250","19.130"
"48","16.220","10.880","0.269","0.195"
"49","0.358","4.062","0.074","13.756"
"50","0.060","20.634","0.552","19.884"
"51","0.194","13.091","13.920","13.538"
"52","14.279","12.672","0.615","11.923"
"53","0.538","15.349","17.935","16.937"
"54","17.920","15.157","1.002","15.249"
"55","1.062","13.841","0.733","12.523"
"56","0.763","14.563","0.269","13.938"
"57","0.179","12.663","14.669","11.817"
"58","14.698","15.532","0.344","7.925"
"59","0.406","0.375","0.254","9.354"
"60","0.193","12.621","0.509","3.596"
"61","0.434","0.330","13.884","9.586"
"62","14.021","13.254","0.344","12.849"
"63","0.313","13.975","0.809","13.241"
"64","0.104","11.817","13.634","17.530"
"65","13.994","17.394","0.209","12.235"
"66","0.495","12.804","0.194","12.866"
"67","0.239","14.816","0.405","15.214"
"68","0.375","16.417","12.847","12.739"
"69","12.863","11.641","0.194","15.259"
"70","0.269","16.879","0.045","18.336"
"71","0.029","13.753","12.899","10.444"
"72","12.884","13.364","0.389","15.826"
"73","0.343","14.699","0.089","14.142"
"74","0.165","17.810","0.524","17.961"
"75","0.418","13.036","0.704","7.503"
"76","0.718","14.887","0.194","11.235"
"77","0.223","0.448","13.534","9.110"
"78","13.355","12.061","0.762","13.041"
"79","0.493","14.794","0.060","14.633"
"80","0.554","15.096","0.284","15.235"
"81","0.240","13.288","18.974","14.442"
"82","19.003","17.919","0.360","17.646"
"83","0.060","18.427","14.935","7.836"
"84","15.236","0.495","0.807","11.218"
"85","0.807","13.447","0.360","12.938"
"86","0.373","14.258","18.358","13.528"
"87","18.313","13.106","0.194","13.840"
"88","0.163","16.705","10.576","16.147"
"89","10.652","14.824","0.435","5.223"
"90","0.420","0.539","0.509","10.970"
"91","0.478","13.978","14.738","12.622"
"92","14.784","14.421","0.298","15.850"
"93","0.224","17.535","13.738","19.464"
"94","13.752","11.804","0.195","15.663"
"95","0.254","6.066","0.298","19.952"
"96","0.209","21.171","10.937","25.427"
"97","11.026","15.596","0.373","22.683"
"98","0.375","29.641","0.524","18.242"
"99","0.418","21.376","10.833","1.705"
"100","10.893","8.941","0.599","41.799"
"101","0.584","32.541","11.007","2.115"
"102","0.029","12.884","0.403","19.046"
"103","11.007","8.057","0.194","18.772"
"104","0.433","17.770","11.626","15.066"
"105","0.134","16.530","0.434","21.350"
"106","11.671","20.818","10.691","19.749"
"107","0.449","18.444","0.418","0.405"
"108","10.706","12.452","0.225","18.381"
"109","0.374","5.571","12.304","19.674"
"110","0.255","19.911","0.193","20.178"
"111","12.214","20.157","0.330","0.702"
"112","0.223","13.014","11.608","67.559"
"113","0.389","58.147","0.300","21.073"
"114","11.504","17.740","0.899","20.172"
"115","0.344","17.975","11.324","0.194"
"116","0.929","15.659","1.304","23.530"
"117","11.310","7.576","4.040","18.487"
"118","0.869","21.959","0.164","0.298"
"119","4.520","12.737","0.195","0.509"
"120","0.134","0.418","0.315","0.809"
"121","0.120","1.065","13.921","26.711"
"122","0.210","12.180","0.195","16.666"
"123","14.057","21.884","0.090","29.567"
"124","0.178","22.807","0.613","19.796"
"125","0.179","23.370","19.376","1.782"
"126","0.194","14.176","0.404","21.114"
"127","19.797","6.291","0.194","27.471"
"128","0.358","24.751","0.405","51.474"
"129","0.210","55.308","12.584","114.461"
"130","0.284","114.188","0.375","18.603"
"131","12.734","24.345","12.235","37.163"
"132","0.360","36.295","0.300","16.554"
"133","12.191","12.196","0.194","231.595"
"134","0.360","231.774","15.139","0.193"
"135","0.179","13.449","0.298","0.568"
"136","15.139","0.480","14.229","27.256"
"137","0.298","16.869","0.301","79.904"
"138","14.168","81.333","0.642","101.049"
"139","0.316","96.655","13.287","0.090"
"140","0.702","13.621","0.403","28.469"
"141","13.212","14.647","0.300","5.708"
"142","0.434","13.791","12.929","1.003"
"143","0.298","5.229","0.509","281.340"
"144","12.914","1.348","0.299","0.105"
"145","0.420","271.363","0.899","128.083"
"146","0.375","10.230","10.822","34.380"
"147","0.524","110.740","1.691","438.788"
"148","11.255","30.750","11.937","70.954"
"149","1.706","449.378","3.115","27.788"
"150","11.864","70.384","0.269","20.272"
"151","3.129","28.509","0.329","12.514"
"152","0.328","30.519","0.225","24.672"
"153","0.254","12.228","12.096",
"154","0.314","16.406","0.299",
"155","11.826",,"0.299",
"156","0.329",,"13.033",
"157","0.059",,"0.104",
"158","0.435",,"0.269",
"159","12.972",,"13.178",
"160","0.165",,"0.391",
"161","0.298",,"0.298",
"162","13.088",,"0.509",
"163","0.406",,"11.022",
"164","0.269",,"0.300",
"165","0.299",,"0.314",
"166","11.292",,"16.930",
"167","0.345",,"0.374",
"168","0.314",,"12.146",
"169","16.899",,"0.300",
"170","0.403",,"0.358",
"171","12.117",,"13.707",
"172","0.299",,"0.793",
"173","0.389",,"0.209",
"174","13.663",,"15.937",
"175","0.403",,"0.195",
"176","0.612",,"11.851",
"177","15.908",,"16.535",
"178","0.269",,"0.298",
"179","11.807",,"0.105",
"180","16.536",,"13.331",
"181","0.313",,"0.405",
"182","0.060",,"0.299",
"183","13.346",,"10.741",
"184","0.464",,"2.099",
"185","0.090",,"0.418",
"186","10.863",,"13.606",
"187","2.112",,"0.598",
"188","0.479",,"0.194",
"189","13.531",,"0.403",
"190","0.613",,"17.271",
"191","0.269",,"0.300",
"192","0.058",,"12.615",
"193","17.557",,"0.300",
"194","0.269",,"14.841",
"195","12.632",,"0.299",
"196","0.299",,"11.834",
"197","14.900",,"0.434",
"198","0.301",,"0.254",
"199","11.803",,"14.496",
"200","0.389",,"0.315",
"201","0.314",,"13.868",
"202","14.526",,"0.688",
"203","0.270",,"0.239",
"204","13.853",,"0.074",
"205","0.673",,"12.330",
"206","0.298",,"0.568",
"207","0.045",,"17.786",
"208","12.360",,"0.193",
"209","0.568",,"0.299",
"210","17.259",,"16.344",
"211","0.631",,"2.008",
"212","0.193",,"0.509",
"213","16.480",,"0.194",
"214","1.528",,"13.029",
"215","1.031",,"0.403",
"216","0.224",,"12.536",
"217","12.940",,"1.406",
"218","0.403",,"0.299",
"219","12.551",,"11.521",
"220","1.407",,"1.420",
"221","0.358",,"0.240",
"222","11.461",,"15.881",
"223","0.972",,"0.403",
"224","0.748",,"0.254",
"225","15.821",,"12.894",
"226","0.448",,"0.704",
"227","0.269",,"1.138",
"228","12.894",,"0.462",
"229","0.584",,"13.589",
"230","1.259",,"0.313",
"231","0.419",,"0.389",
"232","13.543",,"13.823",
"233","0.403",,"0.284",
"234","0.345",,"16.754",
"235","13.807",,"0.807",
"236","0.328",,"0.136",
"237","16.696",,"17.047",
"238","0.866",,"0.404",
"239","0.149",,"0.240",
"240","17.003",,"20.211",
