"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off"
"N","863","1","860"
"Mean","3.512","521.839","3.525"
"Median","0.480","521.839","0.448"
"Mode","0.240","All values","0.404"
"SD","33.204","0.000","33.263"
"Min","0.044","521.839","0.029"
"Max","959.960","521.839","959.899"
"Blank",,,
"1","0.493","521.839","0.778"
"2","0.600",,"0.299"
"3","8.661",,"8.813"
"4","0.330",,"0.059"
"5","0.089",,"0.210"
"6","9.203",,"9.427"
"7","0.464",,"0.150"
"8","0.103",,"0.254"
"9","10.167",,"10.105"
"10","0.208",,"0.390"
"11","0.375",,"0.254"
"12","0.270",,"0.179"
"13","0.240",,"0.149"
"14","11.052",,"11.022"
"15","0.044",,"0.195"
"16","0.270",,"0.149"
"17","0.134",,"0.554"
"18","0.718",,"0.463"
"19","10.393",,"10.363"
"20","0.284",,"0.239"
"21","0.480",,"0.390"
"22","0.149",,"0.179"
"23","0.494",,"0.465"
"24","0.179",,"0.225"
"25","9.820",,"10.016"
"26","0.344",,"0.478"
"27","0.554",,"0.193"
"28","0.134",,"0.285"
"29","0.510",,"0.359"
"30","10.643",,"10.687"
"31","0.388",,"0.643"
"32","0.552",,"0.209"
"33","0.463",,"0.689"
"34","9.186",,"9.094"
"35","0.209",,"0.090"
"36","0.135",,"0.299"
"37","0.433",,"0.344"
"38","0.373",,"0.298"
"39","0.105",,"0.300"
"40","10.745",,"10.625"
"41","0.149",,"0.134"
"42","0.135",,"0.120"
"43","0.299",,"0.314"
"44","0.105",,"0.209"
"45","0.405",,"0.300"
"46","9.846",,"9.876"
"47","0.435",,"0.495"
"48","0.540",,"0.464"
"49","8.976",,"9.007"
"50","0.629",,"0.658"
"51","0.239",,"0.150"
"52","9.610",,"9.998"
"53","0.555",,"0.256"
"54","8.348",,"8.677"
"55","0.688",,"0.344"
"56","0.721",,"0.735"
"57","0.254",,"0.194"
"58","9.275",,"9.351"
"59","0.631",,"0.495"
"60","0.074",,"0.390"
"61","0.585",,"0.269"
"62","0.209",,"0.210"
"63","0.075",,"0.270"
"64","9.988",,"9.807"
"65","0.525",,"0.525"
"66","0.721",,"0.870"
"67","0.299",,"0.344"
"68","0.150",,"9.224"
"69","9.269",,"1.407"
"70","1.153",,"0.224"
"71","0.389",,"9.550"
"72","8.905",,"0.135"
"73","0.900",,"0.194"
"74","0.209",,"0.074"
"75","0.044",,"8.502"
"76","8.457",,"0.763"
"77","0.495",,"8.591"
"78","8.919",,"1.935"
"79","1.694",,"0.299"
"80","0.465",,"8.172"
"81","8.097",,"0.823"
"82","0.253",,"0.614"
"83","1.140",,"10.330"
"84","9.655",,"0.224"
"85","0.928",,"0.269"
"86","0.405",,"0.435"
"87","0.480",,"9.250"
"88","8.995",,"2.038"
"89","1.992",,"7.008"
"90","7.248",,"0.209"
"91","0.150",,"0.284"
"92","0.209",,"0.329"
"93","0.463",,"0.568"
"94","0.164",,"9.664"
