"Row_Name","Tray #1: On","Tray #1: Off"
"N","20","20"
"Mean","172.427","172.444"
"Median","7.530","7.211"
"Mode","All values","All values"
"SD","462.854","463.130"
"Min","0.345","0.391"
"Max","1,999.801","2,000.655"
"Blank",,
"1","2.171","1.796"
"2","4.881","4.718"
"3","55.750","56.634"
"4","45.920","48.390"
"5","3.670","0.406"
"6","47.640","47.715"
"7","2.262","10.854"
"8","15.049","7.595"
"9","51.000","49.936"
"10","1.706","1.600"
"11","883.022","884.028"
"12","1.274","0.673"
"13","0.673","3.501"
"14","10.180","6.827"
"15","0.345","0.391"
"16","0.825","0.913"
"17","1,999.801","2,000.655"
"18","1.122","5.615"
"19","299.010","299.149"
"20","22.244","17.478"
