"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","559","183","552","180"
"Mean","6.348","19.394","6.429","18.592"
"Median","0.345","6.358","0.329","6.201"
"Mode","0.255","5.219, 4.891, 5.461, 7.260, 7.155","0.300, 0.210","6.795"
"SD","36.022","59.769","36.252","58.315"
"Min","0.045","0.989","0.074","1.290"
"Max","688.198","683.399","688.318","676.709"
"Blank",,,,
"1","1.110","1.140","1.094","4.319"
"2","0.343","4.530","0.299","4.560"
"3","3.931","4.604","4.034","4.962"
"4","0.314","5.487","0.150","6.074"
"5","0.240","5.431","0.360","5.175"
"6","3.974","5.129","3.944","4.815"
"7","0.300","4.815","0.315","4.799"
"8","0.284","4.950","0.299","5.084"
"9","5.188","4.994","5.142","5.116"
"10","0.164","5.085","0.105","4.979"
"11","0.120","5.011","0.089","5.265"
"12","5.039","5.234","5.115","5.025"
"13","0.269","4.949","0.269","5.159"
"14","0.150","5.310","0.105","5.730"
"15","4.693","5.578","4.770","5.549"
"16","0.256","5.596","0.195","5.203"
"17","0.149","5.250","0.298","5.416"
"18","4.425","5.700","4.306","5.623"
"19","0.239","5.218","0.210","9.825"
"20","0.195","9.930","0.195","4.844"
"21","4.469","5.174","4.515","1.920"
"22","0.255","1.259","0.195","5.504"
"23","0.195","5.881","0.314","5.129"
"24","4.575","5.025","4.573","4.904"
"25","0.238","4.965","0.105","4.995"
"26","0.179","4.995","0.299","4.920"
"27","4.621","5.354","4.576","1.903"
"28","0.254","1.063","0.225","4.395"
"29","0.165","4.800","0.164","5.010"
"30","4.544","4.890","4.619","4.813"
"31","0.344","5.715","0.315","5.504"
"32","0.225","4.634","0.195","4.411"
"33","4.755","4.784","4.843","4.994"
"34","0.240","5.504","0.106","6.001"
"35","0.179","6.031","0.298","5.759"
"36","4.559","4.979","4.531","4.905"
"37","0.240","5.218","0.194","4.860"
"38","0.149","4.381","0.120","4.710"
