"Row_Name","Tray #1: On","Tray #1: Off"
"N","10","10"
"Mean","293.427","293.534"
"Median","27.093","25.875"
"Mode","All values","All values"
"SD","560.017","560.717"
"Min","0.299","2.606"
"Max","1,812.018","1,814.774"
"Blank",,
"1","5.004","2.606"
"2","2.306","8.822"
"3","14.018","5.930"
"4","40.168","42.929"
"5","72.050","68.960"
"6","0.299","2.996"
"7","826.212","824.488"
"8","1,812.018","1,814.774"
"9","7.055","3.399"
"10","155.141","160.435"
