"Row_Name","Nose_Poke #1: On","Nose_Poke #1: Off"
"N","491","490"
"Mean","6.003","6.016"
"Median","0.599","0.555"
"Mode","0.225","0.330"
"SD","13.896","13.913"
"Min","0.044","0.058"
"Max","194.841","194.782"
"Blank",,
"1","0.958","1.887"
"2","1.934","0.585"
"3","25.534","26.447"
"4","1.286","1.033"
"5","37.157","36.482"
"6","3.878","5.226"
"7","1.378","9.511"
"8","9.601","18.012"
"9","17.516","1.632"
"10","1.109","1.004"
"11","1.213","3.462"
"12","2.712","0.058"
"13","1.724","0.644"
"14","0.194","20.465"
"15","20.780","0.285"
"16","0.284","0.163"
"17","0.283","0.584"
"18","0.479","18.988"
"19","19.032","0.210"
"20","0.300","14.232"
"21","13.872","0.193"
"22","0.538","0.210"
"23","0.179","0.209"
"24","0.135","0.375"
"25","0.284","0.374"
"26","0.433","13.254"
"27","13.389","0.807"
"28","0.778","0.701"
"29","0.716","12.817"
"30","12.831","0.240"
"31","0.225","0.822"
"32","0.568","16.278"
"33","16.503","6.705"
"34","6.525","1.287"
"35","1.480","0.299"
"36","0.254","14.701"
"37","14.447","0.179"
"38","0.538","0.164"
"39","0.120","0.314"
"40","0.224","24.795"
"41","24.840","20.238"
"42","19.998","0.299"
"43","0.449","0.194"
"44","0.300","15.353"
"45","15.337","5.065"
"46","4.675","0.088"
"47","0.554","0.194"
"48","0.120","13.135"
"49","13.104","0.568"
"50","0.180","13.081"
"51","13.485","0.327"
"52","0.387","0.390"
"53","0.225","0.284"
"54","0.285","10.857"
"55","10.947","0.837"
"56","0.897","0.419"
"57","0.389","0.420"
"58","0.180","11.682"
"59","11.923","0.463"
"60","0.463","0.194"
"61","0.209","0.359"
"62","0.163","0.448"
"63","0.675","15.158"
"64","15.173","0.404"
"65","0.285","0.525"
"66","0.629","0.120"
"67","0.120","0.254"
"68","0.120","0.493"
"69","0.433","12.688"
"70","12.883","0.463"
"71","0.493","0.343"
"72","0.223","0.254"
"73","0.180","11.923"
"74","11.759","0.211"
"75","0.524","0.404"
"76","0.466","0.389"
"77","0.254","0.179"
"78","0.223","20.601"
"79","20.451","0.448"
"80","0.584","15.170"
"81","15.244","4.864"
"82","3.188","0.343"
"83","1.825","0.224"
"84","0.299","0.568"
"85","0.343","0.404"
"86","0.493","12.857"
"87","13.007","0.882"
"88","0.764","2.622"
"89","2.665","0.359"
"90","0.540","0.239"
"91","0.104","11.877"
"92","11.877","0.420"
"93","0.254","0.194"
"94","0.450","0.165"
"95","0.119","12.924"
"96","12.582","0.210"
"97","0.552","0.539"
"98","0.584","0.239"
