"Name","Value"
"Schedule Name","Training090723"
"Version","N/A"
"Environment","Chamber 3 [1]"
"Machine Name","DESKTOP-73QI2H7"
"Date/Time","08/18/2023 19:18:32"
"Database","*DEFAULT"
"Schedule Run ID","211"
"Finalized","No"
"Record Count","325"
"Animal ID","00504"
"Application_Version","ABET II Touch 19.11.21.0"
"Max_Number_Trials","0"
"Max_Schedule_Time","3600"
"Notes","18082301"
"Schedule_Start_Time","2023-08-18T19:18:32.905"
"User","DB"
"Evnt_Time","Evnt_ID","Event_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"360.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"360.001","19","List Change - Next Value","RandomInterval","","2","2","Index","4","Value","720","","0","","0","","0"
"360.001","16","Variable Event","Interval","","2","1","Value","720","","0","","0","","0","","0"
"360.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"541.003","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"542.412","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"542.547","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"542.697","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"544.33","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"544.825","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"545.769","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"546.427","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"546.906","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"547.64","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"585.402","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"586.421","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"586.631","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"586.916","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"599.452","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"599.857","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"600.006","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"600.95","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"619.431","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"644.126","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"645.385","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"656.368","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"664.514","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"665.279","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"665.473","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"666.281","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"674.056","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"674.609","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"720.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"720.001","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"720.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"720.001","19","List Change - Next Value","RandomInterval","","2","2","Index","5","Value","840","","0","","0","","0"
"720.001","16","Variable Event","Interval","","2","1","Value","840","","0","","0","","0","","0"
"720.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"757.381","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"758.488","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"758.698","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"759.7","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"759.91","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"761.798","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"766.067","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"768.013","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"776.911","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"794.394","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"794.439","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"801.124","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"810.443","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"811.851","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"812.659","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"812.959","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"827.01","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"827.1","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"827.535","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"830.007","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"840.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"840.001","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"840.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"840.001","19","List Change - Next Value","RandomInterval","","2","2","Index","6","Value","1320","","0","","0","","0"
"840.001","16","Variable Event","Interval","","2","1","Value","1320","","0","","0","","0","","0"
"840.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"923.104","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"947.875","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"960.564","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"960.819","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"961.209","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"962.601","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"962.707","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"972.055","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"973.029","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1320.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1320.001","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1320.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1320.001","19","List Change - Next Value","RandomInterval","","2","2","Index","7","Value","1380","","0","","0","","0"
"1320.001","16","Variable Event","Interval","","2","1","Value","1380","","0","","0","","0","","0"
"1320.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1380.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1380.001","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1380.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1380.001","19","List Change - Next Value","RandomInterval","","2","2","Index","8","Value","1620","","0","","0","","0"
"1380.001","16","Variable Event","Interval","","2","1","Value","1620","","0","","0","","0","","0"
"1380.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1388.263","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1413.558","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1418.753","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1422.785","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1422.994","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1423.28","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1439.693","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1440.921","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1466.354","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1466.982","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1532.455","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1536.515","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1620.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1620.001","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1620.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1620.001","19","List Change - Next Value","RandomInterval","","2","2","Index","9","Value","1800","","0","","0","","0"
"1620.001","16","Variable Event","Interval","","2","1","Value","1800","","0","","0","","0","","0"
"1620.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1800.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1800.001","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1800.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1800.001","19","List Change - Next Value","RandomInterval","","2","2","Index","10","Value","1860","","0","","0","","0"
"1800.001","16","Variable Event","Interval","","2","1","Value","1860","","0","","0","","0","","0"
"1800.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1844.189","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1860.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"1860.001","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1860.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"1860.001","19","List Change - Next Value","RandomInterval","","2","2","Index","11","Value","2160","","0","","0","","0"
"1860.001","16","Variable Event","Interval","","2","1","Value","2160","","0","","0","","0","","0"
"1860.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"1860.812","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1861.622","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1878.713","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1884.494","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1887.776","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1900.809","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1902.546","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1903.13","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1905.151","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1911.725","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1911.77","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1926.688","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1931.272","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1933.698","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"1938.301","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"2160.001","1","Condition Event","Timing","","2","0","","0","","0","","0","","0","","0"
"2160.001","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"2160.001","7","Pulse Output Event","Pump #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"2160.001","19","List Change - Next Value","RandomInterval","","2","2","Index","12","Value","2280","","0","","0","","0"
"2160.001","16","Variable Event","Interval","","2","1","Value","2280","","0","","0","","0","","0"
"2160.001","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"2180.106","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"2200.989","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"2273.087","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
