"Row_Name","Tray #1: On","Tray #1: Off"
"N","4","4"
"Mean","412.506","412.621"
"Median","133.360","132.859"
"Mode","All values","All values"
"SD","558.382","556.853"
"Min","14.287","18.253"
"Max","1,369.016","1,366.513"
"Blank",,
"1","227.778","228.707"
"2","1,369.016","1,366.513"
"3","14.287","18.253"
"4","38.943","37.013"
