"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","404","26","401","27"
"Mean","7.774","94.518","7.831","91.511"
"Median","0.847","17.241","0.721","17.056"
"Mode","0.165","All values","0.165, 0.375","All values"
"SD","35.140","207.118","35.256","204.215"
"Min","0.028","0.194","0.060","0.074"
"Max","344.654","870.295","344.550","856.794"
"Blank",,,,
"1","5.423","7.445","6.128","8.059"
"2","1.168","0.719","0.119","0.899"
"3","0.149","0.959","0.329","1.991"
"4","0.346","8.710","0.539","8.082"
"5","9.430","16.247","9.265","15.571"
"6","0.404","0.825","0.493","0.719"
"7","0.507","12.274","0.314","11.855"
"8","9.448","15.959","9.374","31.689"
"9","0.120","32.994","0.418","20.771"
"10","0.403","26.098","0.210","37.413"
"11","0.286","41.052","2.112","26.290"
"12","6.482","0.194","4.820","13.139"
"13","6.570","30.046","6.256","17.056"
"14","0.135","12.741","0.329","24.147"
"15","0.269","11.569","0.614","1.543"
"16","5.403","11.037","4.968","9.836"
"17","0.149","27.940","0.060","41.686"
"18","0.120","42.752","0.390","28.766"
"19","0.390","103.829","0.734","0.074"
"20","0.344","205.986","6.106","119.428"
"21","6.031","18.563","1.275","204.805"
"22","0.525","18.235","0.477","4.579"
"23","1.198","0.373","0.284","17.816"
"24","0.478","677.373","0.644","0.404"
"25","0.314","870.295","0.941","690.812"
"26","0.628","263.246","0.284","856.794"
"27","0.897",,"0.972","276.575"
"28","0.493",,"4.072",
"29","3.487",,"0.508",
"30","1.587",,"0.419",
"31","0.313",,"22.583",
"32","22.898",,"2.651",
"33","0.524",,"0.794",
"34","2.247",,"0.780",
"35","0.839",,"5.585",
"36","4.807",,"16.008",
"37","14.899",,"1.093",
"38","2.592",,"0.496",
"39","1.258",,"1.542",
"40","1.694",,"0.734",
"41","0.284",,"4.684",
"42","3.531",,"0.403",
"43","1.825",,"0.987",
"44","0.403",,"0.299",
"45","0.987",,"0.523",
"46","0.522",,"22.890",
"47","22.950",,"0.270",
"48","0.240",,"0.629",
"49","0.269",,"0.957",
"50","0.645",,"0.403",
"51","0.912",,"0.569",
"52","0.373",,"0.824",
"53","0.644",,"0.193",
"54","0.750",,"0.224",
"55","0.194",,"0.615",
"56","0.224",,"1.453",
"57","1.948",,"0.239",
"58","0.149",,"0.360",
"59","0.314",,"0.134",
"60","0.240",,"0.345",
"61","0.344",,"1.511",
"62","0.299",,"1.900",
"63","2.963",,"4.534",
"64","2.094",,"3.172",
"65","5.581",,"18.916",
"66","19.126",,"0.598",
"67","0.582",,"0.463",
"68","0.463",,"0.283",
"69","0.283",,"1.618",
"70","1.693",,"1.888",
"71","0.120",,"3.311",
"72","1.842",,"0.359",
"73","3.342",,"0.868",
"74","0.462",,"0.524",
"75","0.914",,"1.662",
"76","1.842",,"0.164",
"77","0.150",,"0.179",
"78","0.179",,"0.674",
"79","0.329",,"0.614",
"80","0.554",,"0.329",
"81","0.793",,"0.418",
"82","0.239",,"0.522",
"83","0.254",,"0.135",
"84","0.552",,"2.889",
"85","2.635",,"4.956",
"86","4.175",,"0.163",
"87","1.168",,"0.539",
"88","0.195",,"0.374",
"89","0.582",,"0.299",
"90","0.300",,"20.480",
"91","20.480",,"0.928",
"92","0.420",,"1.423",
"93","0.867",,"1.286",
"94","1.377",,"0.359",
"95","1.271",,"0.194",
"96","0.329",,"0.118",
"97","0.284",,"0.658",
"98","0.028",,"0.959",
"99","1.317",,"0.239",
"100","0.435",,"0.704",
"101","0.210",,"0.359",
"102","0.688",,"0.703",
"103","0.509",,"0.508",
"104","0.764",,"2.798",
"105","2.858",,"2.246",
"106","0.269",,"0.404",
"107","2.276",,"0.346",
"108","0.449",,"0.223",
"109","0.163",,"3.263",
"110","3.413",,"0.298",
"111","0.179",,"1.093",
"112","0.358",,"0.660",
"113","1.514",,"2.755",
"114","2.680",,"1.212",
"115","0.254",,"0.074",
"116","0.104",,"0.164",
"117","1.002",,"0.194",
"118","0.060",,"0.840",
"119","0.165",,"4.715",
"120","0.223",,"0.150",
"121","5.466",,"25.021",
"122","0.149",,"0.433",
"123","25.007",,"0.719",
"124","0.403",,"1.978",
"125","0.569",,"1.228",
"126","0.314",,"0.704",
"127","1.992",,"1.064",
"128","1.228",,"0.493",
"129","0.704",,"4.310",
"130","1.079",,"1.483",
"131","4.250",,"0.434",
"132","0.494",,"0.209",
"133","1.632",,"0.612",
"134","0.329",,"36.041",
"135","0.553",,"0.495",
"136","34.750",,"0.959",
"137","1.620",,"4.358",
"138","0.450",,"2.293",
"139","4.133",,"0.540",
"140","1.347",,"0.149",
"141","2.084",,"0.615",
"142","0.495",,"0.314",
"143","0.180",,"2.681",
"144","0.764",,"2.160",
"145","1.975",,"2.889",
"146","0.959",,"0.733",
"147","4.750",,"10.979",
"148","0.419",,"20.284",
"149","7.608",,"0.629",
"150","20.671",,"3.836",
"151","3.749",,"0.915",
"152","2.457",,"0.389",
"153","1.813",,"0.568",
"154","0.884",,"4.822",
"155","0.552",,"0.884",
"156","3.397",,"0.735",
"157","1.874",,"0.884",
"158","0.884",,"0.868",
"159","1.289",,"7.752",
"160","0.569",,"45.992",
"161","7.961",,"0.479",
"162","46.174",,"4.340",
"163","0.463",,"0.375",
"164","4.369",,"0.854",
"165","0.195",,"1.181",
"166","0.418",,"4.415",
"167","1.617",,"0.540",
"168","4.459",,"1.002",
"169","0.569",,"0.493",
"170","0.254",,"2.395",
"171","1.078",,"14.658",
"172","1.973",,"2.681",
"173","14.344",,"2.528",
"174","1.856",,"0.538",
"175","2.052",,"0.837",
"176","2.573",,"5.725",
"177","0.717",,"1.093",
"178","3.850",,"0.134",
"179","2.488",,"0.374",
"180","1.004",,"1.426",
"181","0.239",,"0.477",
"182","0.346",,"8.389",
"183","1.499",,"1.423",
"184","6.649",,"1.003",
"185","2.129",,"6.500",
"186","1.558",,"0.793",
"187","4.297",,"0.105",
"188","3.115",,"0.837",
"189","0.703",,"19.858",
"190","0.209",,"2.050",
"191","20.158",,"2.220",
"192","2.349",,"0.269",
"193","1.245",,"1.153",
"194","1.155",,"0.254",
"195","0.208",,"2.399",
"196","1.198",,"0.538",
"197","0.435",,"12.273",
"198","2.250",,"0.179",
"199","8.780",,"1.199",
"200","4.061",,"0.375",
"201","0.568",,"0.375",
"202","0.735",,"5.225",
"203","0.495",,"0.869",
"204","2.903",,"36.154",
"205","2.697",,"5.003",
"206","36.380",,"2.769",
"207","5.302",,"0.209",
"208","1.691",,"0.705",
"209","1.318",,"0.419",
"210","0.210",,"61.016",
"211","0.855",,"0.389",
"212","60.836",,"0.493",
"213","0.464",,"0.884",
"214","0.344",,"1.079",
