"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","117","36","113","36"
"Mean","30.086","89.036","31.149","89.569"
"Median","0.375","1.168","0.493","3.107"
"Mode","0.420, 0.315, 0.225, 0.239, 0.569, 0.060","All values","0.299","All values"
"SD","229.527","370.478","233.571","377.988"
"Min","0.015","0.074","0.061","0.090"
"Max","2,465.685","2,236.564","2,466.962","2,284.443"
"Blank",,,,
"1","18.247","17.524","18.023","17.523"
"2","0.300","0.358","0.299","0.298"
"3","0.149","17.934","0.089","17.919"
"4","0.254","0.553","0.405","0.597"
"5","20.656","0.299","20.625","0.405"
"6","56.410","0.195","56.500","0.598"
"7","10.786","0.777","10.622","0.404"
"8","0.330","39.946","0.299","39.857"
"9","0.329","27.805","0.689","27.730"
"10","0.839","0.492","0.509","0.508"
"11","0.270","0.075","0.299","0.090"
"12","0.180","0.074","0.104","0.104"
"13","0.104","0.689","0.061","0.705"
"14","0.075","0.121","0.134","3.219"
"15","0.330","20.252","0.495","17.197"
"16","12.866","0.194","12.717","0.225"
"17","0.179","0.479","5.615","0.599"
"18","5.750","18.586","0.493","18.435"
"19","0.913","1.018","0.703","2.995"
"20","0.150","2.530","0.104","0.493"
"21","0.030","253.794","0.300","253.778"
"22","0.314","0.103","0.388","1.213"
"23","250.483","1.317","250.169","2.307"
"24","0.358","2.262","0.403","0.283"
"25","0.374","1.019","0.403","1.408"
"26","0.658","14.668","0.598","14.235"
"27","0.074","26.831","0.194","26.815"
"28","0.194","385.771","0.105","377.415"
"29","1.153","2.307","1.123","8.371"
"30","0.823","2,236.564","1.288","2.322"
"31","2.395","64.994","2.394","2,284.443"
"32","22.667","0.403","22.248","17.038"
"33","0.120","0.089","0.104","21.647"
"34","0.435","36.667","0.913","16.515"
"35","6.517","28.442","6.009","27.470"
"36","0.389","0.179","0.509","19.322"
"37","2.815",,"2.695",
"38","0.105",,"0.210",
"39","0.420",,"0.599",
"40","0.420",,"0.314",
"41","0.253",,"3.593",
"42","2,465.685",,"2,466.962",
"43","168.946",,"165.034",
"44","1.333",,"0.599",
"45","0.675",,"0.719",
"46","0.523",,"0.600",
"47","52.721",,"53.411",
"48","0.509",,"0.298",
"49","0.660",,"6.114",
"50","5.994",,"0.103",
"51","0.315",,"0.195",
"52","0.224",,"0.300",
"53","0.074",,"0.208",
"54","0.375",,"0.494",
"55","0.523",,"0.210",
"56","0.224",,"0.732",
"57","0.239",,"0.436",
"58","0.795",,"1.032",
"59","0.568",,"0.195",
"60","0.748",,"0.405",
"61","0.345",,"0.105",
"62","0.179",,"0.494",
"63","0.509",,"0.300",
"64","0.075",,"0.194",
"65","0.315",,"31.365",
"66","31.306",,"0.089",
"67","0.269",,"0.509",
"68","0.224",,"0.403",
"69","0.688",,"0.298",
"70","0.059",,"0.195",
"71","0.359",,"0.298",
"72","0.358",,"0.315",
"73","0.346",,"0.883",
"74","0.568",,"0.208",
"75","0.522",,"0.403",
"76","0.210",,"0.195",
"77","0.015",,"0.194",
"78","0.298",,"0.210",
"79","0.254",,"22.519",
"80","0.149",,"0.703",
"81","21.438",,"1.797",
"82","1.530",,"2.940",
"83","1.377",,"0.195",
"84","3.568",,"0.255",
"85","0.269",,"0.343",
"86","0.285",,"0.510",
"87","0.239",,"0.389",
"88","0.193",,"0.509",
"89","0.750",,"21.422",
"90","0.150",,"0.298",
"91","21.226",,"0.403",
"92","0.913",,"0.702",
"93","0.329",,"0.390",
"94","0.239",,"0.508",
"95","0.628",,"0.496",
"96","0.360",,"0.298",
"97","0.900",,"0.510",
"98","0.223",,"0.494",
"99","0.465",,"1.407",
"100","0.659",,"0.090",
"101","0.809",,"0.315",
"102","0.673",,"0.793",
"103","0.286",,"0.193",
"104","0.822",,"0.510",
"105","0.164",,"0.298",
"106","0.225",,"0.299",
"107","0.583",,"0.510",
"108","0.255",,"0.090",
"109","0.480",,"1.108",
"110","0.059",,"1.092",
"111","0.121",,"0.702",
"112","0.672",,"298.340",
"113","0.615",,"0.300",
"114","0.089",,,
"115","0.928",,,
"116","298.924",,,
"117","0.315",,,
