"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","114","27","112","27"
"Mean","29.728","125.147","30.260","124.928"
"Median","0.876","18.429","1.002","17.045"
"Mode","0.539","All values","1.601, 0.299, 0.509, 0.404, 1.617","All values"
"SD","125.498","270.622","126.566","272.314"
"Min","0.014","0.134","0.089","0.195"
"Max","936.953","1,036.219","937.056","1,047.560"
"Blank",,,,
"1","22.744","32.543","22.850","24.158"
"2","0.359","4.120","0.314","17.606"
"3","24.933","18.429","24.933","3.204"
"4","0.120","5.676","0.494","17.045"
"5","3.882","29.327","3.508","36.292"
"6","1.167","18.678","1.106","0.195"
"7","22.218","6.158","22.352","21.537"
"8","0.928","27.197","1.003","23.462"
"9","0.539","33.580","0.359","32.853"
"10","0.103","38.905","0.344","39.310"
"11","0.539","20.658","0.253","10.518"
"12","0.539","3.128","0.658","1.901"
"13","0.014","8.848","23.137","9.418"
"14","23.168","383.000","0.299","385.725"
"15","0.358","3.653","0.104","0.389"
"16","0.045","0.434","0.703","0.420"
"17","0.717","725.944","1.605","727.384"
"18","1.604","8.390","1.197","28.796"
"19","1.137","35.826","0.209","16.538"
"20","0.210","9.673","0.300","9.927"
"21","0.164","794.353","19.537","791.792"
"22","18.790","0.929","1.600","3.927"
"23","2.572","3.340","7.322","0.688"
"24","7.323","116.590","0.508","117.516"
"25","0.118","1,036.219","0.194","1,047.560"
"26","0.539","13.240","0.299","0.405"
"27","0.149","0.134","0.495","4.505"
"28","0.554",,"1.016",
"29","1.032",,"0.433",
"30","0.254",,"1.661",
"31","1.914",,"0.405",
"32","0.120",,"16.937",
"33","16.519",,"1.600",
"34","2.050",,"12.325",
"35","12.534",,"0.509",
"36","0.194",,"0.193",
"37","0.524",,"0.240",
"38","0.269",,"0.568",
"39","0.164",,"0.299",
"40","0.524",,"2.307",
"41","1.348",,"1.198",
"42","1.123",,"0.403",
"43","0.703",,"1.002",
"44","0.899",,"1.002",
"45","0.807",,"32.473",
"46","1.167",,"0.194",
"47","32.442",,"0.298",
"48","0.283",,"118.586",
"49","0.150",,"1.616",
"50","118.390",,"0.795",
"51","1.977",,"252.998",
"52","0.808",,"2.305",
"53","252.998",,"1.604",
"54","2.276",,"0.089",
"55","0.854",,"4.718",
"56","0.854",,"716.526",
"57","4.658",,"9.434",
"58","716.452",,"0.703",
"59","9.523",,"1.198",
"60","0.720",,"1.616",
"61","1.167",,"0.493",
"62","1.615",,"8.119",
"63","0.511",,"0.435",
"64","8.134",,"33.997",
"65","0.389",,"0.404",
"66","34.086",,"7.412",
"67","0.360",,"2.217",
"68","7.442",,"0.494",
"69","2.187",,"13.038",
"70","0.315",,"0.527",
"71","13.232",,"0.299",
"72","0.451",,"2.004",
"73","0.358",,"1.407",
"74","1.990",,"0.808",
"75","1.467",,"3.909",
"76","0.089",,"7.326",
"77","4.629",,"0.195",
"78","7.235",,"262.496",
"79","0.150",,"585.099",
"80","262.587",,"0.810",
"81","584.966",,"0.193",
"82","0.464",,"33.498",
"83","0.658",,"1.077",
"84","33.513",,"0.420",
"85","1.077",,"13.047",
"86","0.451",,"937.056",
"87","13.047",,"88.452",
"88","936.953",,"0.404",
"89","88.556",,"27.858",
"90","0.373",,"0.208",
"91","27.844",,"0.090",
"92","0.284",,"0.316",
"93","0.059",,"0.089",
"94","0.090",,"0.403",
"95","0.315",,"1.197",
"96","0.210",,"0.509",
"97","1.407",,"0.704",
"98","0.449",,"1.498",
"99","0.702",,"1.409",
"100","1.213",,"0.597",
"101","1.544",,"1.513",
"102","0.434",,"3.204",
"103","1.527",,"0.268",
"104","3.458",,"1.436",
"105","0.193",,"0.702",
"106","0.284",,"2.713",
"107","1.407",,"12.835",
"108","2.860",,"0.239",
"109","13.255",,"0.659",
"110","0.135",,"0.885",
"111","0.388",,"0.719",
"112","0.614",,"0.507",
"113","0.780",,,
"114","1.003",,,
