"Row_Name","Nose_Poke #1: On","Nose_Poke #1: Off"
"N","730","731"
"Mean","4.820","4.814"
"Median","0.538","0.464"
"Mode","0.030","0.135"
"SD","39.308","39.284"
"Min","0.028","0.030"
"Max","851.211","849.951"
"Blank",,
"1","0.061","0.088"
"2","0.133","0.360"
"3","0.839","0.689"
"4","5.747","5.957"
"5","0.449","0.253"
"6","2.410","3.476"
"7","1.259","0.194"
"8","0.269","0.314"
"9","0.299","0.120"
"10","0.404","0.464"
"11","2.305","2.935"
"12","0.748","0.059"
"13","0.149","0.344"
"14","0.509","0.509"
"15","4.016","5.261"
"16","13.032","12.041"
"17","4.761","4.881"
"18","0.719","0.704"
"19","1.136","0.853"
"20","0.315","0.435"
"21","0.464","0.764"
"22","0.750","0.120"
"23","19.089","19.061"
"24","10.186","10.363"
"25","0.313","0.118"
"26","0.075","0.105"
"27","9.101","9.191"
"28","0.375","0.239"
"29","0.090","0.165"
"30","0.149","0.119"
"31","7.804","7.698"
"32","0.195","0.150"
"33","7.325","0.179"
"34","0.374","7.295"
"35","0.134","0.329"
"36","6.572","0.149"
"37","0.254","6.603"
"38","0.180","0.224"
"39","6.739","0.165"
"40","1.213","6.769"
"41","0.449","1.528"
"42","0.135","0.149"
"43","7.322","0.135"
"44","0.254","7.352"
"45","6.817","0.539"
"46","0.254","6.457"
"47","0.149","0.269"
"48","0.316","0.240"
"49","6.307","0.210"
"50","0.179","6.382"
"51","0.284","0.134"
"52","0.134","0.344"
"53","5.810","0.089"
"54","7.044","5.781"
"55","0.838","7.164"
"56","0.314","0.837"
"57","10.990","0.299"
"58","2.817","10.991"
"59","0.240","2.847"
"60","6.046","0.448"
"61","0.134","5.673"
"62","0.658","0.539"
"63","0.151","0.344"
"64","6.510","0.090"
"65","0.313","6.631"
"66","0.403","0.508"
"67","0.165","0.091"
"68","6.064","1.241"
"69","6.108","4.972"
"70","0.658","6.122"
"71","2.455","0.658"
"72","0.674","2.576"
"73","0.150","0.554"
"74","0.088","0.149"
"75","6.302","0.179"
"76","0.134","6.213"
"77","2.171","0.298"
"78","5.539","2.067"
"79","0.121","5.479"
"80","0.088","0.135"
"81","5.852","0.269"
"82","0.657","6.046"
"83","0.299","0.283"
"84","5.328","0.419"
"85","0.598","5.177"
"86","2.292","0.704"
"87","5.617","2.382"
"88","0.090","5.407"
"89","0.120","0.134"
"90","0.103","0.090"
"91","5.326","0.133"
"92","0.749","5.627"
"93","0.194","0.433"
"94","5.448","0.270"
"95","0.298","5.417"
"96","5.256","0.299"
"97","0.508","5.360"
"98","3.562","0.448"
"99","5.568","3.727"
"100","0.178","5.372"
"101","0.359","0.150"
"102","5.437","0.448"
"103","0.271","5.408"
"104","0.103","0.194"
"105","0.285","0.300"
"106","4.757","0.088"
"107","0.105","4.744"
"108","0.193","0.223"
"109","0.119","0.134"
"110","4.985","0.089"
"111","0.420","5.180"
"112","0.164","0.194"
"113","0.135","0.240"
"114","5.149","0.225"
"115","0.194","5.000"
"116","0.178","0.224"
"117","5.614","0.134"
"118","0.134","5.614"
"119","2.352","0.478"
"120","4.639","2.218"
"121","0.163","4.503"
"122","0.165","0.134"
"123","4.731","0.135"
"124","0.240","4.866"
"125","0.358","0.134"
"126","0.134","0.359"
"127","4.613","0.105"
"128","0.105","4.627"
"129","0.194","0.164"
"130","4.580","0.360"
"131","0.254","4.430"
"132","4.983","0.299"
"133","0.149","4.863"
"134","0.089","0.088"
"135","4.869","0.134"
"136","0.209","4.899"
"137","0.149","0.239"
"138","6.677","0.419"
"139","1.451","7.664"
"140","0.194","0.254"
"141","0.103","0.058"
"142","0.060","0.105"
"143","4.540","0.149"
"144","0.269","4.526"
"145","4.372","0.164"
"146","0.464","4.477"
"147","4.286","0.389"
"148","3.503","4.811"
"149","0.343","3.217"
"150","0.089","0.119"
"151","5.137","0.074"
"152","0.494","5.302"
"153","0.253","0.313"
"154","4.402","0.492"
"155","0.284","4.208"
"156","0.150","0.344"
"157","0.029","0.030"
"158","4.387","0.044"
"159","0.331","4.509"
"160","0.059","0.223"
"161","0.120","0.060"
"162","4.820","0.509"
"163","0.298","4.596"
"164","0.210","0.285"
"165","0.163","0.060"
"166","0.209","0.238"
"167","0.030","0.105"
"168","4.670","0.253"
"169","0.240","4.492"
"170","0.074","0.224"
"171","5.781","0.074"
"172","0.314","5.796"
"173","2.394","1.049"
"174","0.030","1.704"
"175","4.137","4.302"
"176","0.389","0.464"
"177","0.345","0.478"
"178","0.687","0.284"
"179","4.338","4.308"
"180","0.060","0.105"
"181","0.300","0.329"
